"","sub_id","parcel_001","parcel_002","parcel_003","parcel_004","parcel_005","parcel_006","parcel_007","parcel_008","parcel_009","parcel_010","parcel_011","parcel_012","parcel_013","parcel_014","parcel_015","parcel_016","parcel_017","parcel_018","parcel_019","parcel_020","parcel_021","parcel_022","parcel_023","parcel_024","parcel_025","parcel_026","parcel_027","parcel_028","parcel_029","parcel_030","parcel_031","parcel_032","parcel_033","parcel_034","parcel_035","parcel_036","parcel_037","parcel_038","parcel_039","parcel_040","parcel_041","parcel_042","parcel_043","parcel_044","parcel_045","parcel_046","parcel_047","parcel_048","parcel_049","parcel_050","parcel_051","parcel_052","parcel_053","parcel_054","parcel_055","parcel_056","parcel_057","parcel_058","parcel_059","parcel_060","parcel_061","parcel_062","parcel_063","parcel_064","parcel_065","parcel_066","parcel_067","parcel_068","parcel_069","parcel_070","parcel_071","parcel_072","parcel_073","parcel_074","parcel_075","parcel_076","parcel_077","parcel_078","parcel_079","parcel_080","parcel_081","parcel_082","parcel_083","parcel_084","parcel_085","parcel_086","parcel_087","parcel_088","parcel_089","parcel_090","parcel_091","parcel_092","parcel_093","parcel_094","parcel_095","parcel_096","parcel_097","parcel_098","parcel_099","parcel_100","parcel_101","parcel_102","parcel_103","parcel_104","parcel_105","parcel_106","parcel_107","parcel_108","parcel_109","parcel_110","parcel_111","parcel_112","parcel_113","parcel_114","parcel_115","parcel_116","parcel_117","parcel_118","parcel_119","parcel_120","parcel_121","parcel_122","parcel_123","parcel_124","parcel_125","parcel_126","parcel_127","parcel_128","parcel_129","parcel_130","parcel_131","parcel_132","parcel_133","parcel_134","parcel_135","parcel_136","parcel_137","parcel_138","parcel_139","parcel_140","parcel_141","parcel_142","parcel_143","parcel_144","parcel_145","parcel_146","parcel_147","parcel_148","parcel_149","parcel_150","parcel_151","parcel_152","parcel_153","parcel_154","parcel_155","parcel_156","parcel_157","parcel_158","parcel_159","parcel_160","parcel_161","parcel_162","parcel_163","parcel_164","parcel_165","parcel_166","parcel_167","parcel_168","parcel_169","parcel_170","parcel_171","parcel_172","parcel_173","parcel_174","parcel_175","parcel_176","parcel_177","parcel_178","parcel_179","parcel_180"
"12002","12002",1.276,1.1123,1.31,1.3429,1.2744,1.4245,1.1957,1.3691,1.3004,1.2185,1.2213,1.2093,1.3099,0.96859,1.1781,1.2864,1.202,1.3419,1.2793,1.2711,1.2397,1.3375,1.154,0.92962,0.97539,1.111,1.2647,1.2008,1.2952,1.2468,1.1291,0.81277,1.1444,1.0791,1.1998,1.32,1.2394,0.98741,1.1411,1.0851,1.0666,1.3181,1.1953,0.96455,1.3383,1.2459,1.35,1.2523,1.246,1.2929,1.2273,1.3392,1.2782,1.1959,1.2655,1.2921,0.87708,0.57796,0.95734,1.037,0.93702,1.1442,1.2385,1.0774,1.0252,1.1206,1.105,1.2802,1.2274,1.0903,1.1022,1.2914,1.2267,1.1697,1.1101,1.2273,1.1703,1.249,1.1723,1.1871,1.1952,1.1718,1.2405,1.1741,1.1754,1.2974,1.1238,1.1911,1.097,1.143,1.137,1.1213,0.65257,1.0323,0.98492,1.2475,1.2296,1.041,1.0659,1.2463,0.96555,1.0072,0.93474,1.1883,1.1422,1.1408,0.84384,1.1285,1.0732,0.80004,1.0175,1.0732,1.0531,1.0077,1.0651,1.3149,1.2216,0.82596,0.9642,1.1507,1.0638,1.2121,0.98208,1.0473,1.1306,0.74628,1.1871,1.1209,0.92817,0.87074,0.9621,1.2765,1.3254,1.1911,1.1228,1.1478,1.1706,1.2865,1.1567,1.1374,1.0951,1.1408,1.1798,1.208,1.1772,1.235,1.2913,1.2188,1.1911,1.2915,1.2848,1.17,0.93815,1.3114,0.88873,1.2525,1.1769,1.2707,1.1896,1.1776,1.1962,1.1558,1.1299,0.80616,1.0137,0.58649,0.99713,1.1095,0.91803,1.1295,1.1765,0.76393,0.7843,0.81067,1.2045,1.0428,1.1754,0.79577,1.0822,0.79502
"12004","12004",1.2991,1.0048,1.346,1.251,1.3442,1.3032,1.2188,1.2382,1.3074,1.1951,1.1989,1.1155,1.3031,1.143,1.3201,1.2706,1.289,1.2959,1.0324,1.1766,1.2195,1.3986,1.1577,1.0422,1.1179,1.3128,1.3099,1.1974,1.1705,1.347,1.2728,0.90596,1.2148,1.2062,1.2403,1.3182,1.2162,1.1348,1.239,1.1707,1.0884,1.2801,1.2487,1.1928,1.2899,1.0937,1.3184,1.2095,1.2043,1.2294,1.3258,1.2733,1.075,1.0934,1.1961,1.2604,0.84346,0.67985,0.93961,1.1742,1.1124,1.1567,1.242,1.2032,1.1956,1.1409,1.1094,1.0831,1.2906,1.3181,1.1542,1.2,1.2618,1.1673,1.2379,1.1885,1.2182,1.2058,1.1038,1.099,1.1655,1.2418,1.3146,1.2455,1.2558,1.2431,1.2405,1.106,1.0802,1.0655,1.143,1.063,0.76393,1.0016,0.98831,1.058,1.1573,1.2461,1.0917,1.1168,1.1573,0.93758,1.1087,1.047,1.0362,1.1542,0.78015,1.1836,1.1973,0.93243,1.063,0.8927,1.1674,1.0882,0.94248,1.1814,1.0399,0.93809,0.95226,1.1838,0.95349,1.1312,1.0087,1.0706,1.233,0.9021,1.2379,0.94256,1.1468,1.2227,1.01,1.0507,1.321,0.98436,1.1007,1.1242,1.3181,1.2876,1.1371,1.2437,1.1995,1.2955,1.249,1.2104,1.2495,1.1585,1.1657,1.2762,1.338,1.2239,1.3252,1.2093,0.88772,1.0497,1.1899,1.2167,1.2004,1.2328,1.1177,1.1241,1.2475,1.2526,1.1496,0.84211,0.74136,0.78394,1.2249,1.0785,1.1514,1.0753,1.2634,0.76393,0.86661,1.0952,1.1787,1.1088,1.0184,0.81276,1.2038,1.0077
"12005","12005",1.0248,0.90638,0.94969,1.0076,0.96718,1.0634,1.0693,1.1045,1.1367,0.98555,0.93253,0.96606,0.93492,0.92236,1.0199,1.0006,1.048,1.068,0.96573,1.0702,1.1538,1.1437,1.0461,0.72532,0.86352,0.8937,1.0086,0.94403,1.1556,1.053,1.0569,0.71583,1.0317,0.94332,0.92208,1.0797,1.0416,0.89162,1.1114,0.89579,0.85932,1.0897,1.0151,0.98014,1.0889,1.1176,1.0524,1.0905,1.1094,1.0957,1.152,1.0799,1.0577,1.0561,1.0462,0.99461,0.67254,0.54348,0.62622,0.8406,0.84097,0.87523,0.93999,1.1066,1.0426,0.98215,0.99761,1.0781,0.94384,1.1034,1.0247,1.0251,0.95648,0.98281,0.92796,0.97932,1.0439,1.0301,0.93189,1.0117,0.9357,1.0116,1.0138,1.0176,0.99161,1.0376,0.9878,0.88011,1.081,1.0788,1.0783,0.91154,0.54161,0.91801,0.96201,0.99788,1.0799,0.95926,0.84306,0.89747,0.75176,0.75486,0.75058,0.79543,0.87247,0.95812,0.78429,0.88601,0.83661,0.88537,0.96986,0.84132,0.79587,0.92679,0.72055,1.0673,0.9514,0.84822,0.89883,1.0884,0.91492,1.0537,1.0049,0.93887,0.96257,0.82597,0.92148,0.82641,0.91643,0.90527,0.96095,0.92857,1.0332,1.0235,0.97294,0.95118,1.1116,1.1108,0.96238,1.0296,0.99786,1.0306,1.0022,0.92049,1.0307,1.0114,1.049,0.94743,0.98106,1.0455,1.0597,1.0067,0.79773,0.92226,0.93549,1.0933,1.0171,0.99167,1.055,0.88947,1.0154,0.87843,1.0236,0.73855,0.63113,0.76594,0.9433,0.75363,0.86823,0.94767,1.1126,0.76393,0.67396,0.81572,1.0028,0.94114,0.90305,0.77483,0.82523,0.51079
"12006","12006",1.2026,0.96473,1.0308,1.1159,1.1487,1.1936,1.0998,1.1508,1.1509,1.1509,1.0417,1.0566,1.1109,1.0904,1.2541,1.1188,1.1204,1.0241,1.0167,1.0895,1.1704,1.18,1.0632,0.71414,0.88557,1.0831,1.1644,1.0739,1.1406,1.2264,1.1739,0.85091,1.075,1.0967,1.0056,1.0535,1.1729,0.99781,1.113,1.0182,0.91058,1.2256,1.1468,1.1886,1.2075,1.136,1.2289,1.1506,1.0802,1.2304,1.0456,1.174,1.075,1.1261,1.1798,1.1406,0.7616,0.72457,0.81277,1.0055,0.92648,1.0029,1.1578,1.054,0.93593,0.97254,1.0862,1.1681,1.2111,1.0365,1.1209,1.1331,1.176,1.1377,1.0711,1.09,1.124,1.0231,1.1256,1.0111,1.2021,1.1848,1.2803,1.1252,1.243,1.1946,1.1914,1.0116,1.1032,0.94591,1.0005,0.82899,0.82888,0.99202,1.1286,1.2563,1.2105,0.9833,0.98135,1.067,0.80491,0.92089,0.73328,0.94895,0.86911,0.83389,0.73736,0.95627,1.0189,0.76842,0.97509,0.89827,0.84471,0.93058,0.94316,1.1054,1.1834,0.68653,0.8809,0.9531,0.89031,0.96859,1.0794,0.88507,1.1696,0.74871,0.83961,0.86205,0.88774,1.189,0.88943,1.0545,1.1593,0.90537,0.8844,1.0007,1.1598,1.1761,1.1054,1.1878,1.0469,0.97074,1.1354,1.178,1.1928,1.0941,1.0476,1.0418,1.1868,1.1907,1.1425,1.1054,0.69785,0.92708,0.98336,1.1181,1.0941,1.1223,1.0625,0.75831,1.1689,0.97145,0.95769,0.73912,0.9162,0.79345,0.65408,0.94202,0.92968,1.0266,1.1895,0.76393,0.64594,0.73275,0.97113,0.98316,1.0604,0.78179,0.8771,0.937
"12007","12007",1.2318,1.0251,1.2917,1.2745,1.3384,1.2231,1.3678,1.3171,1.2771,1.0921,1.2316,1.0072,1.1149,1.1916,1.2384,1.2003,1.275,1.4476,1.0395,0.9072,0.93911,1.2258,1.2456,1.0744,1.3947,1.1047,1.3815,1.1621,1.2773,1.2066,1.2011,1.1122,1.1843,1.3111,1.2808,1.1963,1.2905,1.3463,1.1566,1.3041,1.2061,1.2006,1.3823,0.98814,1.4061,1.3039,1.2426,1.317,1.2932,1.3099,1.2253,1.3005,1.2601,1.0145,1.3202,1.2325,1.0563,0.94399,1.2487,1.3011,0.90825,1.2286,1.3309,1.2274,1.1493,1.2062,1.057,1.2584,1.2777,1.2677,1.1494,1.1916,1.3887,1.3576,1.2824,1.2706,1.3285,1.4059,1.1505,1.0921,1.2871,1.3531,1.2618,1.1905,1.1978,1.3524,1.2007,1.0044,1.1383,1.0397,1.2848,1.0603,0.99532,1.0742,0.97122,1.1038,1.0576,0.94721,1.3374,1.3113,1.2064,1.067,1.1538,1.1313,1.2733,1.1812,1.098,1.2837,1.2733,1.002,1.2033,1.0213,1.2773,1.1669,1.0442,1.3112,1.1776,0.62334,1.069,1.2014,1.1007,0.89917,1.1381,1.3088,1.333,0.83958,1.166,1.1117,1.2556,1.3299,0.98898,1.042,1.3738,1.205,1.1629,1.3889,1.3727,1.2928,1.2677,1.2606,1.1621,1.2464,1.2196,1.2218,1.1883,1.1584,1.2675,1.4049,1.3854,1.2819,1.3244,1.2908,1.1434,1.2952,1.126,0.9729,1.1983,1.1009,1.1141,1.1598,1.1907,1.2676,1.2909,0.84427,0.9053,0.94183,1.1749,1.0275,1.0975,1.124,1.359,0.76393,1.0879,1.1897,1.3584,1.2667,1.1943,1.0328,1.2413,1.0883
"12008","12008",1.2843,1.0492,1.2879,1.3211,1.3253,1.2917,1.2561,1.2922,1.3071,1.1058,1.1019,0.953,1.3733,1.0658,1.2371,1.2659,1.2499,1.2599,1.1406,1.1854,1.298,1.251,1.2175,1.0311,1.1406,1.0112,1.2546,1.1076,1.2804,1.2312,1.2036,0.99554,1.0569,1.1707,1.0711,1.249,1.208,1.1274,1.1212,1.2379,1.1319,1.2714,1.1853,1.1367,1.3283,1.2485,1.3314,1.2994,1.2385,1.2801,1.2607,1.3295,1.165,1.1832,1.146,1.2966,1.1127,0.98721,1.0982,1.126,1.0468,1.074,1.1294,1.1095,1.1225,1.1347,1.1128,1.1534,1.1968,1.2336,1.2175,1.1899,1.2428,1.2367,1.1873,1.1417,1.158,1.1797,1.1301,1.169,1.1557,1.2238,1.2493,1.1893,1.2007,1.1583,1.1656,1.1224,1.1001,1.1085,1.0924,1.0342,0.76393,1.1456,1.1165,1.1521,1.1999,1.1063,1.1189,1.1693,1.1542,1.1596,1.1243,1.1411,1.1639,1.1837,0.96018,1.1495,1.1558,1.0682,1.1911,1.0243,1.0856,1.0107,1.1324,1.2385,1.0804,0.87328,1.0246,1.1267,1.1341,0.96769,1.213,1.1263,1.331,0.88365,1.0659,1.1107,1.1432,1.1872,1.045,1.1068,1.2745,1.0831,1.0016,1.0977,1.2958,1.3307,1.1587,1.1897,1.1182,1.2822,1.1887,1.2587,1.2308,1.2186,1.2312,1.2791,1.1773,1.2389,1.2601,1.2758,1.1497,1.2342,1.0674,1.342,1.2649,1.2121,1.2291,1.137,1.078,1.1609,1.2132,1.0235,0.97623,1.0429,1.1123,1.2072,1.1611,1.1493,1.2194,0.76393,1.065,1.1154,1.3089,1.1129,1.0482,0.87027,1.0791,1.0801
"12009","12009",1.2225,1.0095,1.1426,1.2411,1.218,1.2503,1.3481,1.2561,1.3348,1.0221,1.0545,1.1135,1.1092,1.148,1.2314,1.0989,1.1844,1.3195,1.1097,1.0969,1.1975,1.3642,1.1216,0.9703,1.1963,1.2535,1.2162,1.2077,1.2551,1.2841,1.227,0.96626,1.1545,1.1428,1.2515,1.2081,1.1702,1.1007,1.1889,1.1739,1.1226,1.195,1.2579,0.97794,1.2275,1.1484,1.191,1.1703,1.1432,1.182,1.3264,1.2789,1.1544,1.1279,1.291,1.1645,1.1798,0.82724,0.96209,1.1495,0.82047,1.0856,1.1347,1.1658,1.1255,1.1785,1.2933,1.3125,1.2745,1.1454,1.2336,1.1657,1.2575,1.2367,1.214,1.0828,1.2247,1.1812,1.1336,1.0469,1.1333,1.2257,1.2584,1.1999,1.2751,1.2177,1.226,1.168,1.1503,1.1466,1.1484,1.0825,0.60509,0.99582,1.1524,1.0541,1.2508,1.1136,1.1504,1.1906,1.0361,0.88569,0.79399,1.004,1.166,0.94549,0.8749,1.0316,0.87568,0.8461,1.0267,0.87486,1.1082,1.0083,0.9804,1.2159,1.146,0.75244,1.0054,1.0589,1.0098,1.1223,0.97476,1.0279,1.2274,0.78515,1.0061,0.88784,0.9814,1.2585,0.83508,1.1375,1.3743,1.158,0.98457,1.0726,1.3001,1.3316,1.1434,1.178,1.1199,1.2086,1.1615,1.2531,1.3445,1.1082,1.2964,1.1911,1.2916,1.3037,1.2716,1.2218,0.91175,1.1353,1.0201,1.0607,1.1096,1.0974,1.1653,0.89976,1.2181,1.1043,0.91612,0.64688,0.6684,0.58821,0.93478,0.79753,0.97773,1.1905,1.23,0.8349,0.80346,0.91741,1.297,1.0796,1.08,0.78096,1.2104,1.0069
"12010","12010",1.1577,1.0035,1.2037,1.1461,1.1654,1.2066,1.124,1.1081,1.1046,1.0327,1.0932,1.1037,0.99613,1.1123,1.2317,1.1051,1.1756,1.1904,1.0054,0.9154,1.0515,1.1978,1.0483,0.66897,1.0424,1.0481,1.1819,1.0377,1.1959,1.1734,1.2191,1.0685,1.1772,1.0863,1.0324,1.1298,1.1367,0.99574,1.1733,0.981,0.90711,1.1381,1.2377,1.001,1.1039,1.1171,1.1507,1.0956,1.0797,1.2173,1.1375,1.093,0.97142,0.9089,1.1833,1.1138,0.9939,0.87425,1.0129,1.0801,0.99836,1.1861,1.1769,1.2024,1.0614,1.0606,0.97996,1.1084,1.2443,0.98728,1.0272,1.1646,1.0885,1.1151,1.1248,1.2189,1.0674,1.0929,1.028,0.96471,1.1771,1.1553,1.1332,1.035,1.0695,1.1008,1.0164,1.1257,1.0745,1.1051,1.0493,1.0206,0.87471,1.0368,0.87984,1.0681,1.2268,0.94757,0.91722,1.0325,0.85262,0.67533,0.86999,0.70601,0.86559,0.92525,0.75689,0.96326,0.97634,0.89746,0.96812,0.95746,1.1027,0.82561,0.77833,1.1162,1.0817,0.89415,0.95302,0.96631,1.0842,0.90334,0.97185,0.94066,1.001,0.85558,1.1322,0.9066,1.0179,1.1334,0.85637,1.0081,1.2721,1.2171,0.99732,1.0335,1.2343,1.2626,0.91673,1.1012,1.039,1.1688,1.1016,1.1808,1.1508,1.1302,1.1108,1.1984,1.168,1.1391,1.074,1.083,0.89677,1.1107,0.98841,1.1105,1.1499,0.99853,1.0249,1.1041,1.0931,1.0709,1.1038,0.72252,0.86015,0.74265,0.87471,0.76758,0.92477,0.99597,1.1336,0.86988,0.68026,0.86468,0.97002,1.0721,1.1758,0.75848,1.0325,1.0008
"12011","12011",1.3212,1.21,1.2004,1.2673,1.2677,1.2515,1.2322,1.331,1.36,1.1432,1.1717,1.1423,1.2387,1.0214,1.2181,1.2362,1.1671,1.2007,1.2343,1.1675,1.3445,1.2289,1.3,0.99573,1.181,1.0838,1.175,1.2037,1.1332,1.2354,1.2543,0.89159,0.99899,0.98624,1.1456,1.2676,1.2323,1.1196,1.2757,1.2,1.1984,1.2857,1.061,1.146,1.2802,1.2584,1.2312,1.2076,1.1677,1.2549,1.3032,1.2918,1.265,1.2187,1.3127,1.167,1.1017,0.78899,1.0122,1.0912,0.87134,1.1368,1.134,1.0735,0.89837,1.1212,1.0633,1.1338,1.1364,1.2108,1.1695,1.1643,1.1853,1.1763,1.1587,1.1907,1.1465,1.0898,1.1451,1.1339,1.0902,1.1295,1.1644,1.2457,1.1403,1.2198,1.1411,0.90811,1.0293,0.95992,1.0873,1.0699,0.77227,1.0147,1.1554,1.1265,1.1468,1.0729,1.132,1.2377,1.0808,1.0338,1.0892,1.0764,1.2633,1.121,0.91056,1.0747,1.0792,0.81249,1.1255,0.9093,1.127,1.0823,1.0568,1.216,1.2415,0.86993,0.85037,1.0206,0.99952,1.1215,1.049,1.2152,1.1718,0.69157,1.0494,0.78249,1.0982,1.2094,1.0168,1.2279,1.1984,1.0944,1.0904,1.1506,1.1796,1.245,1.2395,1.2688,1.2114,1.2499,1.2105,1.1992,1.1623,1.2247,1.2738,1.2626,1.2225,1.21,1.1932,1.15,1.0401,1.1186,1.0521,1.3678,1.319,1.1935,1.2475,1.0695,1.1799,1.0382,1.055,0.87081,0.75951,0.70561,1.0633,1.1151,1.073,1.1662,1.1929,0.9971,0.81908,0.97652,1.2553,1.113,1.1663,0.85513,1.1007,0.90987
"12012","12012",1.2251,1.2394,1.3523,1.2283,1.1996,1.4163,1.249,1.4134,1.4374,1.3538,1.33,1.2602,1.2116,1.0681,1.3457,1.2284,1.4514,1.1982,1.1516,1.1834,1.3208,1.3746,1.3023,0.81201,1.2,1.1649,1.3875,1.0452,1.1241,1.3318,1.07,1.0463,1.0111,1.0666,1.2994,1.2882,1.1657,1.146,1.4782,0.96735,1.1464,1.426,1.3065,1.2063,1.3729,1.3658,1.4427,1.3845,1.3904,1.4562,1.4501,1.3822,1.3045,1.2285,1.3368,1.3365,0.84403,0.57006,0.87158,1.0868,0.89793,1.0293,1.1246,1.2251,1.04,1.3811,1.3043,1.275,1.2666,1.2114,1.2262,1.2907,1.4476,1.307,1.316,1.3369,1.3941,1.4314,1.2782,1.3743,1.3653,1.4352,1.4861,1.4247,1.4431,1.4535,1.3948,1.0543,1.1073,1.0838,1.3488,1.3186,0.82401,1.0679,1.2321,1.3351,1.4145,1.1172,1.0943,1.1747,0.92995,0.92518,0.93882,1.0474,1.1585,1.2258,0.59476,1.0635,1.0526,0.89829,1.1548,1.0104,0.95404,1.0554,1.0317,1.3104,1.294,1.0019,0.90024,1.1723,1.1056,0.97023,0.97423,1.0005,1.2301,0.74733,1.1894,1.0214,1.3266,1.4337,0.82419,1.1923,1.5271,1.3331,1.1975,1.2466,1.472,1.487,1.3193,1.3877,1.2716,1.3257,1.292,1.4043,1.4472,1.2751,1.2667,1.2899,1.3502,1.2805,1.327,1.3968,1.1334,1.2557,1.1951,1.345,1.4736,1.2378,1.2857,1.122,1.3203,1.2709,1.1147,0.59367,0.69076,0.53572,1.0062,1.072,1.1942,1.3299,1.4065,0.76393,0.73874,0.99344,1.0348,1.2057,1.4193,0.78064,1.0977,0.87739
