GeneSymbol	tstat	pval	fdr_q	direction
RGCC	14.0371426558579	4.41299473638361e-13	4.03692322977931e-09	upreg
RNF144B	12.486637177189	5.31007917617192e-12	2.4287794636962e-08	upreg
NRCAM	11.731269310276	1.94256373697842e-11	5.92340058062362e-08	upreg
RASSF4	10.1499886946306	3.59415442453015e-10	8.21965941188163e-07	upreg
CHST15	9.41031261913873	1.55899947926798e-09	2.85228584624519e-06	upreg
TRIM22	9.09518782961075	2.97498986946137e-09	4.53577310866702e-06	upreg
WEE1	8.68540173897432	7.02780797555846e-09	8.05948209580935e-06	upreg
RP11-166D19.1	8.68403613264663	7.04822956342995e-09	8.05948209580935e-06	upreg
LRAT	8.53813892486608	9.62338701309193e-09	9.78143387452513e-06	upreg
IGFBP5	8.31158517241057	1.56955009267423e-08	1.43579442259006e-05	upreg
FAM107A	8.062273201504	2.71013992281927e-08	2.09563377472521e-05	upreg
EDNRB	8.05582003271513	2.74903047420765e-08	2.09563377472521e-05	upreg
ZHX3	8.00051779190518	3.10675340120771e-08	2.18615278873989e-05	upreg
LYPD1	7.86136151691817	4.23421045689749e-08	2.74891406363627e-05	upreg
CPNE4	7.83339081552314	4.50749590831118e-08	2.74891406363627e-05	upreg
DAB1	7.41930398159146	1.15166103298091e-07	6.52011697542496e-05	upreg
KITLG	7.38029109383254	1.25953859296413e-07	6.52011697542496e-05	upreg
IGFBPL1	7.37227654215126	1.28295319132219e-07	6.52011697542496e-05	upreg
TRIB2	7.30843823106989	1.48613268331035e-07	7.15518826863381e-05	upreg
PITPNC1	7.12506615840076	2.27367122973335e-07	0.000103995548969465	upreg
TTYH2	7.06371191387406	2.62382270943824e-07	0.000114296326658316	upreg
NEDD9	7.01485275984914	2.94185456037355e-07	0.000122325105356052	upreg
CPNE8	6.87732048322809	4.06615518193654e-07	0.00015884882931102	upreg
BAALC	6.82378789811298	4.61501440902537e-07	0.000168869078587011	upreg
METTL7A	6.76208322092832	5.34252985570878e-07	0.000187970930335886	upreg
NEFL	6.71230135085295	6.01428794758525e-07	0.000203768727793471	upreg
CDC42EP3	6.61093551335795	7.66165953385348e-07	0.000250312131706568	upreg
LAMA2	6.55068304624256	8.85258853518991e-07	0.000269939292447259	upreg
DTNA	6.52740605564962	9.36183406726997e-07	0.000276258930705128	upreg
KCND3	6.50906521194904	9.78407811707214e-07	0.000279696488667464	upreg
PDZD2	6.48814633587776	1.02894631550755e-06	0.00028523043059432	upreg
COL8A1	6.4490304510586	1.1307106536102e-06	0.000292941821510199	upreg
COL5A2	6.44746572049582	1.13498868108038e-06	0.000292941821510199	upreg
SPRED1	6.44100283045416	1.15283405556922e-06	0.000292941821510199	upreg
ITGA8	6.39960755675309	1.27412539922901e-06	0.000315012313544389	upreg
MYO5B	6.38546508128552	1.31848292003989e-06	0.000317400782171392	upreg
ETV1	6.36484769178047	1.38598641711973e-06	0.000325095866933419	upreg
LARGE	6.34779668663528	1.44446896523188e-06	0.000330343149537634	upreg
KCNQ3	6.2716112593478	1.73811872854897e-06	0.000378570902017429	upreg
SEC14L1	6.22639071184601	1.94051092412533e-06	0.000405144607887938	upreg
ITGAV	6.22466301763685	1.94870302192945e-06	0.000405144607887938	upreg
ATXN1	6.17878970111094	2.17959161465287e-06	0.000439083630994946	upreg
TENM1	6.06493228890907	2.88066697221447e-06	0.000555949277586914	upreg
SCRG1	6.05980668836082	2.91715379783007e-06	0.000555949277586914	upreg
PARP14	6.03279593607583	3.11734367235251e-06	0.000581976816932749	upreg
PNMT	6.00431137442166	3.34362693302665e-06	0.000611737200879258	upreg
PLCB4	5.98692506359326	3.48988374038632e-06	0.000625976261970164	upreg
NPAS3	5.97866355812648	3.56164417639499e-06	0.000626562309845566	upreg
SLC2A3	5.9523121139314	3.80071682134427e-06	0.000656004357903139	upreg
TMX4	5.94252192758113	3.8936386783258e-06	0.000659597451007025	upreg
SCG2	5.8651966484481	4.71358857742076e-06	0.000761525593529876	upreg
PTPN5	5.86406047182331	4.72686318862815e-06	0.000761525593529876	upreg
ERBB3	5.84483303228301	4.95735559490353e-06	0.000775839331685384	upreg
SKIL	5.84106243185771	5.00387812290536e-06	0.000775839331685384	upreg
ELK3	5.83222403418761	5.11467335795476e-06	0.000779800903349869	upreg
PDGFRL	5.79817912025268	5.56523960147407e-06	0.000834586033939102	upreg
MEIS1	5.75158127606312	6.24804426816533e-06	0.000907236740349653	upreg
PEG10	5.72256696296014	6.71555219209763e-06	0.00095988418383299	upreg
AHI1	5.62027161240516	8.66608047193026e-06	0.00121962534804274	upreg
ATP10D	5.58225185409376	9.52969783875281e-06	0.00129370533731127	upreg
ALCAM	5.57565008204762	9.68831268853779e-06	0.00129370533731127	upreg
TFPI	5.5715993407729	9.78695741098133e-06	0.00129370533731127	upreg
CALB1	5.56928109933579	9.84386893303034e-06	0.00129370533731127	upreg
NEFM	5.5506522164658	1.03135389881746e-05	0.00132882089035472	upreg
HS3ST1	5.48874757825562	1.2043635492969e-05	0.00147583480501771	upreg
PLA2G4A	5.48688874170239	1.20999041639026e-05	0.00147583480501771	upreg
OSMR	5.36809441634518	1.63072705517357e-05	0.00184167646725621	upreg
TMEM132C	5.31791810329463	1.85033496131856e-05	0.00203933861828975	upreg
LRRTM2	5.28362815363646	2.01738428648746e-05	0.00219698164603785	upreg
RP11-219G17.4	5.27578038120756	2.05771114756156e-05	0.00221225164351254	upreg
SORBS2	5.2434552478609	2.23258541248263e-05	0.00233193010272038	upreg
NRIP1	5.24156432428827	2.24326778618087e-05	0.00233193010272038	upreg
DTX3L	5.22920138556484	2.31439254019e-05	0.00237883377056293	upreg
GRIA2	5.2010399187228	2.48502383426709e-05	0.00247854099065697	upreg
MYO1D	5.19879214508929	2.49917840817444e-05	0.00247854099065697	upreg
ABCA1	5.15192206887599	2.81358775974968e-05	0.00273810244729978	upreg
SYTL4	5.11554190881653	3.0849019835695e-05	0.00293959308979122	upreg
NLGN4X	5.10158363510445	3.19586969065879e-05	0.0029996821262742	upreg
ARHGAP31	5.09940565133662	3.21354384688157e-05	0.0029996821262742	upreg
RGL1	5.07242968283899	3.44079342322165e-05	0.00312041699703698	upreg
IGDCC4	5.07231390508165	3.44180286290124e-05	0.00312041699703698	upreg
SSFA2	5.06021185329705	3.54898034829209e-05	0.00315197998380525	upreg
IL6ST	5.03533216229027	3.77999787603298e-05	0.0032932093350111	upreg
STOM	4.98309932199943	4.31547892887701e-05	0.00368945573187078	upreg
PER3	4.96853472060789	4.47797397600443e-05	0.00379293055194112	upreg
PRUNE2	4.95669355087033	4.61461162940288e-05	0.00387280597208791	upreg
PPP3CA	4.89779501209741	5.35917636954536e-05	0.00429023946161056	upreg
SORBS1	4.89628055866344	5.37983722093536e-05	0.00429023946161056	upreg
TCN2	4.89206374728941	5.43778765826403e-05	0.00429023946161056	upreg
DOCK11	4.89188232723935	5.44029489236021e-05	0.00429023946161056	upreg
RAP1GAP2	4.86959236244893	5.75735356633721e-05	0.00450146751264762	upreg
TGFBR2	4.85282408383038	6.00805314105344e-05	0.00464728563635167	upreg
FAM210B	4.85038262847691	6.0454585342329e-05	0.00464728563635167	upreg
TLE1	4.82802290800397	6.39910002855602e-05	0.00483783007136729	upreg
WSCD1	4.81889636837113	6.54934968704314e-05	0.00491083598515853	upreg
SMC6	4.78940302349928	7.05954684059997e-05	0.00517253262597331	upreg
NBR1	4.76578095468408	7.49681083765352e-05	0.0052971682745395	upreg
KREMEN1	4.7644794283156	7.52167822502814e-05	0.0052971682745395	upreg
SH3KBP1	4.76440598501811	7.52308392089876e-05	0.0052971682745395	upreg
TMEM86A	4.76141186738247	7.5806159377345e-05	0.0052971682745395	upreg
KANK1	4.76114627651356	7.58574053588635e-05	0.0052971682745395	upreg
NRP1	4.75802892841655	7.6461504732847e-05	0.0052989032542679	upreg
FAXDC2	4.75353393976447	7.73410792019295e-05	0.0053195594637183	upreg
RASSF2	4.73765992481264	8.05293011756608e-05	0.0053771288602683	upreg
UNC5C	4.70300598591853	8.79548715308087e-05	0.00570634292238725	upreg
COL13A1	4.69242153287614	9.03569393076561e-05	0.00582090147126971	upreg
IFI16	4.67920340857677	9.34492383603934e-05	0.00591798813922745	upreg
RHOBTB3	4.67771177806286	9.38047891469009e-05	0.00591798813922745	upreg
SLC18A1	4.66238244963193	9.75382242832383e-05	0.00602879075110405	upreg
FAM167A	4.61007248980904	0.000111435260815396	0.0067439707525842	upreg
ESRRB	4.60788475342811	0.000112057824050722	0.0067439707525842	upreg
STAT2	4.59918699573582	0.000114567566199311	0.00679349198278624	upreg
AC006372.4	4.59873367289661	0.000114699904416391	0.00679349198278624	upreg
BNC2	4.59733706790276	0.000115108576793954	0.00679349198278624	upreg
PRICKLE1	4.59192896700452	0.000116704880428971	0.00684355088364835	upreg
CUBN	4.58921735877561	0.000117513582285464	0.00684708145125958	upreg
HIF3A	4.56802742044822	0.000124029386557411	0.0071498354037704	upreg
MTUS1	4.53639769683944	0.000134433755586396	0.00758992194109146	upreg
HERC6	4.52964824998642	0.000136764524377251	0.00760723388557013	upreg
DIO3	4.52536493598224	0.000138264579120186	0.00761938518257371	upreg
SEMA3C	4.48889523875182	0.000151721218809597	0.00816421592899327	upreg
TACC1	4.47320844455098	0.000157904621033556	0.00841562868233911	upreg
MMRN1	4.47239183504091	0.00015823331656111	0.00841562868233911	upreg
KCNIP4	4.42628335169725	0.00017794455745318	0.00940212086044052	upreg
CALCOCO2	4.41476305966652	0.000183240756786073	0.00957857952188641	upreg
FMNL2	4.40373769655804	0.000188456630432641	0.00978583947059805	upreg
ASXL3	4.3996766363307	0.000190414934834975	0.00978583947059805	upreg
EPS8	4.38451445809818	0.000197907397744017	0.00997024308222908	upreg
LRRC55	4.38266366349939	0.000198841882145123	0.00997024308222908	upreg
HS2ST1	4.37810822263763	0.00020116075331216	0.00998941769586348	upreg
ABHD4	4.37570689951728	0.00020239393911377	0.00998941769586348	upreg
SLC7A11	4.36679149906319	0.000207038690389864	0.0100628341593941	upreg
LIFR	4.36662060824199	0.000207128751398663	0.0100628341593941	upreg
AK4	4.36515064453238	0.000207905050009998	0.0100628341593941	upreg
FOXN4	4.35349571395091	0.000214163640614092	0.010311200245435	upreg
NPY1R	4.34237745915248	0.000220308933816108	0.0104278376832728	upreg
FKBP5	4.34088713931705	0.000221145909808849	0.0104278376832728	upreg
SLC24A5	4.33490726477185	0.000224536236126608	0.0104796661614477	upreg
SLC1A4	4.32438878576399	0.000230625869442472	0.0107092455288052	upreg
RYR3	4.32106464377766	0.0002325843677744	0.0107456431189151	upreg
MCHR1	4.3167614391366	0.000235144325436211	0.0108093233210836	upreg
GAS7	4.31348306112224	0.000237113433558744	0.0108453418280128	upreg
RP11-395B7.7	4.30760175023963	0.000240687194913689	0.0108611452798301	upreg
FYN	4.30705713265848	0.000241020831143782	0.0108611452798301	upreg
MAML2	4.29503585311242	0.000248503536831811	0.0110976221682368	upreg
RPS6KA5	4.29473331682844	0.000248694805736583	0.0110976221682368	upreg
TMEM43	4.28188120583197	0.000256956918749496	0.0113555206522475	upreg
NCALD	4.26817132391337	0.000266071758828526	0.0116895196798949	upreg
ZNF486	4.26669155591393	0.00026707459923657	0.0116895196798949	upreg
ANKRD44	4.26482003331603	0.000268348319629063	0.0116895196798949	upreg
PARP9	4.24541689704537	0.000281915081854875	0.0119625341362587	upreg
BRCA1	4.24234833069069	0.000284122239894308	0.0119625341362587	upreg
SPON1	4.24158082799588	0.000284676970474284	0.0119625341362587	upreg
CCND1	4.23789318634969	0.000287357356044282	0.0119625341362587	upreg
CYB5R2	4.23634391586082	0.000288490925640123	0.0119625341362587	upreg
GAS2L3	4.23564963387796	0.000289000359310303	0.0119625341362587	upreg
SLC7A2	4.2269470454483	0.00029546231949497	0.0120391937588752	upreg
RAD18	4.22596325244307	0.00029620179623199	0.0120391937588752	upreg
GRIK2	4.22433102751368	0.000297432733299558	0.0120391937588752	upreg
SPRED2	4.21997272527237	0.000300744506242641	0.0121196178649281	upreg
ST6GAL2	4.21444354595504	0.000304998797655236	0.0122333662434611	upreg
PHF15	4.2128425983801	0.000306241736808651	0.0122333662434611	upreg
VWA5A	4.20680578859097	0.00031097402584735	0.0123683954143233	upreg
LIX1	4.19638701822401	0.000319312905766257	0.0125905751069093	upreg
KIF26B	4.19360602317619	0.000321576053201524	0.0126253916950074	upreg
ETV6	4.18948647471322	0.000324957820797725	0.0127036411473366	upreg
NEUROD1	4.18616781720376	0.000327707806137451	0.0127566313561732	upreg
