EIlabels,EIratio,channel_001,channel_002,channel_003,channel_004,channel_005,channel_006,channel_007,channel_008,channel_009,channel_010,channel_011,channel_012,channel_013,channel_014,channel_015,channel_016,channel_017,channel_018,channel_019,channel_020,channel_021,channel_022,channel_023,channel_024,channel_025,channel_026,channel_027,channel_028,channel_029,channel_030,channel_031,channel_032,channel_033,channel_034,channel_035,channel_036,channel_037,channel_038,channel_039,channel_040,channel_041,channel_042,channel_043,channel_044,channel_045,channel_046,channel_047,channel_048,channel_049,channel_050,channel_051,channel_052,channel_053,channel_054,channel_055,channel_056,channel_057,channel_058,channel_059,channel_060,channel_061,channel_062,channel_063,channel_064,channel_065,channel_066,channel_067,channel_068,channel_069,channel_070,channel_071,channel_072,channel_073,channel_074,channel_075,channel_076,channel_077,channel_078,channel_079,channel_080,channel_081,channel_082,channel_083,channel_084,channel_085,channel_086,channel_087,channel_088,channel_089,channel_090,channel_091,channel_092,channel_093,channel_094,channel_095,channel_096,channel_097,channel_098,channel_099,channel_100,channel_101,channel_102,channel_103,channel_104,channel_105,channel_106,channel_107,channel_108,channel_109,channel_110,channel_111,channel_112,channel_113,channel_114,channel_115,channel_116,channel_117,channel_118,channel_119,channel_120,channel_121,channel_122,channel_123,channel_124,channel_125,channel_126,channel_127,channel_128
1:2.0,2,-0.365788075948126,-0.129340439119067,-0.266028837249715,-0.605050224219678,-0.42928389964759,-0.581787952719224,-0.250633080139918,-0.573132533103442,-0.520847929086333,-0.42465383890547,-0.41064550077609,-0.518540829432846,-0.710456720156001,-0.324599967912691,-0.499475555539127,-0.395395978620308,-0.371508472649042,-0.440228747965199,-0.213916376910718,-0.380682662240753,-0.405322815665688,-0.778060465762862,-0.131847704575099,-0.643434606315062,-0.441287994188242,-0.436004000013047,-0.463755471035953,-0.522148929672632,-0.56626735103111,-0.272287504657803,-0.619265742163278,-0.484181961004616,-0.186824191508861,-0.633125567611992,-0.262281829711615,-0.822179017829754,-0.463667129774668,-0.499395407353029,-0.758275577268267,-0.635353418174854,-0.295756266447505,-0.445735865557162,-0.389693608399089,-0.570592551129326,-0.426558712001045,-0.670282277228016,-0.66627366388417,-0.529099053197889,-0.714245179931589,-0.555836421125093,-0.196790003879502,-0.158686534177445,-0.196087134711042,-0.658565463552895,-0.678002882901733,-0.626736941414962,-0.374549679417153,-0.609179485145845,-0.545049611576406,-0.765515084272296,-0.146584213173529,-0.465033057900484,-0.344110914982233,-0.652999310870172,-0.204677610197349,-0.506462696474607,-0.502777274087455,-0.517133410484984,-0.207446027362139,-0.532879190233802,-0.422839831193351,-0.542289873498418,-0.488237168068044,-0.503638150001878,-0.458002547801765,-0.344446528854161,-0.304970962656845,-0.265792379603348,-0.325613266919071,-0.18808157840273,-0.269263403714941,-0.374339546217421,-0.427956609240061,-0.144798280609462,-0.578256004068098,-0.618334308612415,-0.482578731425923,-0.394019450283998,-0.37064911141933,-0.508031850407078,-0.535295239463676,-0.405242738630893,-0.393898354952686,-0.430445094531655,-0.66558488684894,-0.324741055194292,-0.488554221852511,-0.575183103235346,-0.612476284271027,-0.487012126432656,-0.558918788610429,-0.744573327136463,-0.449110069063265,-0.498867045823714,-0.466765132576507,-0.598640402850815,-0.558334678964341,-0.345522744758026,-0.476164841511446,-0.0879176992466409,-0.123997015995068,-0.573790509135366,-0.495241347794739,-0.573731223284539,-0.364015116316638,-0.603498134313903,-0.4240002745659,-0.662077306267091,-0.417446414067411,-0.351320801370173,-0.445014505047996,-0.399524467820715,-0.51770851335295,-0.421990426464972,-0.373153295592412,-0.332474868942113,-0.406487140344469,-0.452356011761875
1:2.2,2.2,-0.351430639989389,-0.377397472305735,-0.558301390366054,-0.590996070679603,-0.348752835702028,-0.598054601617675,-0.292777191704098,-0.592852133341003,-0.149545539647443,-0.289445596072716,-0.395065549558357,-0.736801142264077,-0.271391354273195,-0.0207161964752562,-0.605908187838414,-0.234682444906839,-0.693460551482873,-0.265010247779557,-0.386401236648139,-0.619871331817151,-0.691586492479454,-0.429754824586662,-0.386953502678557,-0.428970811745732,-0.645141953031579,-0.646106946577522,-0.0773335857216734,-0.588258173542527,-0.651791470403839,-0.242231069696467,-0.487963151076841,-0.410404101313393,-0.135447091730671,-0.454909044218635,-0.245753553671856,-0.542225164670171,-0.53643132849828,-0.269136224188904,-0.405983483629172,-0.713435249461529,-0.393744522368504,-0.5482435855432,-0.477904654392133,-0.397653933592065,-0.384753492752059,-0.415443206946037,-0.54760532136404,-0.25698689426696,-0.433480741073938,-0.634375620311572,-0.435008130532167,-0.40698181828923,-0.835349742277069,-0.456939233458569,-0.442701164792688,-0.809088649895089,-0.304612524586905,-0.564529416453118,-0.315139013549718,-0.522133140993565,-0.494932131026916,-0.503250494232544,-0.195546234264743,-0.50961686835681,-0.881521083194251,-0.439569696680481,0.0625629315885899,-0.319662945257907,-0.472526759402557,-0.185449521079524,-0.219663056776817,-0.529647035778077,-0.436008942976547,-0.516173589029899,-0.266092298617175,-0.736846981794714,-0.466621018674234,-0.295640153182067,-0.480648559717196,-0.373655924734899,-0.866884935103355,-0.364866209517081,-0.306872863417567,-0.518698973082859,-0.279033435074805,-0.137213263694305,-0.645876676188194,-0.406778517873057,-0.326666270506678,-0.604367446332015,-0.824678652664044,-0.283586481355684,-0.448840370470521,-0.49264504627363,-0.678204517656016,-0.783223421745957,-0.240115307783297,-0.529325001071827,-0.575631535352057,-0.62202641702724,-0.18324412817059,-0.673531038094867,-0.237016451432745,-0.626489647442666,-0.419278409266733,-0.381071724729157,-0.408028371706019,-0.481283721602444,-0.569862731424824,-0.897917288297525,-0.56051580894178,-0.404178969484429,-0.538533853778485,-0.800070833844976,-0.661597878520926,0.0145696938527397,-0.860509478133114,-0.425029779966832,-0.394607892042746,-0.511873876489879,-0.761692741030488,-0.306451828952883,-0.625059197271902,-0.672264053604539,-0.486085004084218,-0.512938793372533,-0.335066422962627,-0.714541828784717
1:2.4,2.4,-0.397112190527891,-0.602914532123221,-0.528494228769259,-0.693166463744829,-0.25622641536719,-0.710143036576364,-0.208967106682969,-0.65897048744247,-0.687356266660027,-0.381337040358081,-0.496205361994958,-0.469943876364207,-0.785305096018317,-0.57043609680271,-0.394448742575842,-0.526471531330031,-0.404537888329272,-0.320638275815494,-0.515964003119832,-0.539183621864348,-0.572757145732995,-0.410541885154397,-0.383680900853186,-0.302906130603501,-0.403702989545116,-0.398258563786429,-0.562264469677071,-0.455839303956271,-0.441091711569058,-0.655726339679333,-0.231214689188846,-0.459268171132657,-0.176517770686406,-0.621830686718359,-0.572438974706248,-0.368666466558641,-0.344645187129411,-0.515016595243991,-0.285899520899383,-0.34781180557056,-0.429416582753801,-0.414302336508632,-0.437363721619007,-0.590612071212233,-0.443886231462226,-0.635025464407233,-0.929008239260582,-0.200276566899123,-0.412411500193975,-0.752711966354046,-0.57383754300426,-0.465615430110407,-0.532078304298238,-0.309795606858118,-0.428780926201733,-0.587251562988696,-0.249297801563223,-0.341425594308424,-0.324574403016256,-0.267975806360235,-0.477192293755231,-0.190836085147669,-0.410230921133817,-0.625296102605368,-0.765929990503523,-0.370757192743943,-0.282928491129653,-0.476505620151067,-0.265797251055421,-0.259183397319521,-0.277436387816618,-0.464478773123457,-0.316206314120407,-0.478179463089654,-0.52070755681219,0.0733182399640699,-0.50761737729454,-0.458665920836209,-0.389785721627092,-0.66565261856057,-0.781107803839456,-0.355239348962502,-0.674978698632465,-0.427291682165292,-0.249695630632143,-0.82219181722038,-0.211748209458491,-0.35763615067906,-0.684460009011097,-0.293856535353057,-0.287464093503331,-0.283258139679724,-0.332501606149923,-0.498140522340221,-0.565009550891257,-0.292062428657271,-0.430510364750077,-0.489344916307842,-0.364556351605908,-0.523967303211376,-0.472589682384352,-0.40982322888469,-0.443659529977336,-0.528640267211164,-0.484907671828263,-0.670299264040908,-0.626889182274608,-0.303784152834333,-0.646474426852505,-0.3867298237224,-0.48379610116475,-0.365691209477803,-0.458233409191332,-0.642520617173393,-0.489923651943213,-0.47996160580188,0.00844009602618801,-0.419483610132606,-0.300897378088748,-0.555119157301555,-0.478141401634059,-0.515855612093215,-0.615661757532658,-0.64324936215052,-0.309505656177224,-0.597350092562854,-0.583251879683981,-0.307431347209859
1:2.6,2.6,-0.542840770734513,-0.404763733025257,-0.338068949321092,-0.345321630513743,-0.750531352096012,-0.211460583366423,-0.619925255970018,-0.474822780098673,-0.508238921755949,-0.585743295415462,-0.589734970537509,-0.865888110729327,-0.630745132239957,-0.567677659275058,-0.567294441860094,-0.323995684693518,-0.636213071091092,-0.727581822717754,-0.472493937713078,-0.29006799560765,-0.239267860386277,-0.530500546232061,-0.748528673149951,-0.742934578453857,-0.451208518401419,-0.553094382035494,-0.742860275333476,-0.459899977111598,-0.302661228051138,-0.384435093420487,-0.450465182891429,-0.441489259982344,-0.165302712528146,-0.402428950814521,-0.524087789903714,-0.499687962345356,-0.494364998112523,-0.384712588614294,-0.139124835185862,-0.501235886084161,-0.577665829370017,-0.194272774748579,-0.389280004106693,-0.721395288882435,-0.761351630518043,-0.556170361908972,-0.440450562279482,-0.854491854410628,-0.251129820932319,-0.50662046335857,-0.225935723427477,-0.498451946896464,-0.505052303499444,-0.661097513766957,-0.855118763502882,-0.39875427930859,-0.770712466880238,-0.388909954339376,-0.558640454255981,-0.298483312160941,-0.462687859631158,-0.469678465378759,-0.558733718882367,-0.236955236912573,-0.331552654937378,-0.199197151864166,-0.901769864985845,-0.602286777827912,-0.65517649810941,-0.399879215854915,-0.487360340452297,-0.503798667460677,-0.5403054107983,-0.601663522218824,-0.670707734655835,-0.640392500113834,-0.426554305278467,-0.77248415979633,-0.720453658800206,-0.535872820931709,-0.496616706696254,-0.421884978893533,-0.723954198231588,-0.616674279984579,-0.49813692337501,-0.75482097036209,-0.427538163326834,-0.65107515632985,-0.394885380665292,-0.288001404762507,-0.985448509604427,-0.617232827746345,-0.296553909441426,-0.482849945392749,-0.379542358185236,-0.503186285291698,-0.41311612467844,-0.615326960190437,-0.918066858063613,-0.281956665046404,-0.421137404533729,-0.482994265020985,-0.515392837597414,-0.425648308574984,-0.189573418048669,-0.674027266804342,-0.811843434393479,-0.554803489150774,-0.362863376165107,-0.505264233823147,-0.672493840465531,-0.625031441734929,-0.555456153686136,-0.380992961570714,-0.453126876174,-0.262441511776214,-0.4820654125704,-0.422111614349332,-0.514282524736037,-0.688437130671814,-0.605166975141756,-0.56625936272573,-0.67274352733226,-0.510894384836758,-0.675187983259404,-0.643928720727329,-0.688098680274258,-0.490428811708178
1:2.8,2.8,-0.285061400283383,-0.43559674033482,-0.588998142830933,-0.56367836269235,-0.565024846472032,-0.21170252662775,-0.278975160826396,-0.511805269996423,-0.574029032813584,-0.501996178936884,-0.556166385041459,-0.31941583708771,-0.450545438919004,-0.435081948166057,-0.436063526474982,-0.684131240274945,-0.536009555735937,-0.371708688160827,-0.562192110149648,-0.230326042646583,-0.255398072104113,-0.532024808130795,-0.685241652008147,-0.320961772698685,-0.729024256083816,-0.636736904119383,-0.761054555599681,-0.646386099988147,-0.438399675669476,-0.328563811324489,-0.809261861925726,-0.213911449823521,-0.5001750542614,-0.479951276304328,-0.439031684927551,-0.189620524325153,-0.524824618472794,-0.646398199063057,-0.432244344705003,-0.414360834655802,-0.668821875408153,-0.661277826656657,-0.831930803334438,-0.461984291156784,-0.386106598689419,-0.702495161316663,-0.608355011150534,-0.409804826485369,-0.824672397196984,-0.216635828315988,-0.438865828375151,-0.472483462100186,-0.676455066782981,-0.332044528638034,-0.620728139884912,-0.347795012441388,-0.400487179652418,-0.586436810092433,-0.649292353352795,-0.471380233196512,-0.544565241930698,-0.409810791027498,-0.687563458288719,-0.577511925828509,-0.447862852800556,-0.687201186119569,-0.638561346189629,-0.699028245379674,-0.696280298899045,-0.776626473842525,-0.933209523298268,-0.839420493159818,-0.552120767017991,-0.253351306503794,-0.470358421660317,-0.587105465191037,-0.336079066610876,-0.736631332180853,-0.445209280483189,-0.39293706296031,-0.585812746697948,-0.782730145178863,-0.603609037212584,-0.64179618525545,-0.503262178059312,-0.531692558711772,-0.576065544282947,-0.24922814359247,-0.57095582580854,-0.706405878927619,-0.786110709829354,-0.389561365985569,-0.589613006373078,-0.378188657993144,-0.663581605975787,-0.752155404412855,-0.319880880776063,-0.487330729224374,-0.368777102020954,-0.548294996620748,-0.712102079366352,-0.926727412621106,-0.531844408341906,-0.426665305979913,-0.513702811711913,-0.358680602536325,-0.597629378384236,-0.64037354722116,-0.608955485720294,-0.378995335940943,-0.287624985716785,-0.550824323709644,-1.08024448242404,-0.179276789254415,-0.427063020557134,-0.351310035440945,-0.4522661809403,-0.560549834151092,-0.277148987383884,-0.29889338568329,-0.539802893131673,-0.788292053562901,-0.366283932654208,-0.616961741227986,-0.521003214397728,-0.485816268830383,-0.556194426963968,-0.550523980366802
1:3.0,3,-0.792491046069691,-0.735348643665408,-0.852741804473973,-0.3872946996186,-0.746340470783179,-0.478367454964004,-0.543854551018941,-0.547646927323486,-0.518015594697121,-0.572894717654424,-0.695417328130767,-0.366757234759463,-0.504854388102035,-0.940033755219058,-0.127340113763593,-0.511672708817477,-0.875805474049396,-0.348861327895144,-0.373571962672491,-0.47194126656148,-0.580045465547358,-0.51704777877141,-0.535894763441465,-0.590309400082725,-0.350254012013198,-0.530490227865155,-0.556409083546946,-0.634488720620654,-0.659265662445821,-0.764078075067562,-0.649197199763256,-0.887757753440986,-0.411419977135654,-0.0857914051085774,-0.611167123034149,-0.542638428693528,-0.780921587490362,-0.392494635194407,-0.524707842732171,-0.54151098034083,-0.556037664149134,-0.533888379832069,-0.673576035701586,-0.290982538913227,-0.506345873004148,-0.340670923596668,-0.332400792498118,-0.541669178702951,-0.214043298982292,-0.50392954222684,-0.539680385753279,-0.797050921277814,-0.609810467422613,-0.643959730160844,-0.491774917278243,-0.393640419759848,-0.361940279525354,-0.644005399268222,-0.362754422620433,-0.406606597306743,-0.881044898306937,-0.441663438236768,-0.575650017387327,-0.838873531662434,-0.626136454723152,-0.524165599304168,-0.428961787184866,-0.672231375036464,-0.7260095039129,-0.711337725772543,-0.513690414703578,-0.705127029218651,-0.602073022137411,-0.45712929175026,-0.705878840721718,-0.402056454378901,-0.914750245720407,-0.428423961350777,-0.220169774203179,-0.354259172884437,-0.697775854464662,-0.623051898286297,-0.733274002082154,-0.445441677316332,-0.55588835577809,-0.261737235703856,-0.208645238110509,-0.815491828033407,-0.537010960003908,-0.339763350617085,-0.69660849247878,-0.706512538220115,-0.738218153637097,-0.610365072495064,-0.848082072456487,-0.807633328106982,-0.582013554006267,-0.293202465813272,-0.338145813335044,-0.550092132117534,-0.69935656989118,-0.552733804338418,-0.39014892296172,-0.728104990641254,-0.412326532984894,-0.429087554111868,-0.476277051488458,-0.51620116388475,-0.502296350746075,-0.338866020334383,-0.567015960641062,-0.508808350590204,-0.595134892409311,-0.575473095206717,-0.197474112167563,-0.681382631845278,-0.35567219083713,-0.494559975387143,-0.625139234420115,-0.677571318929452,-0.305756813654677,-0.459188885790114,-0.405034927540248,-0.145730711372024,-0.668566588960914,-0.452858472264434,-0.495460981266763,-0.621182249903157
1:3.2,3.2,-0.679105983894503,-0.619722648771603,-0.84728165178933,-0.471285585434777,-0.724525873915565,-0.302949939931105,-0.421168243910568,-0.603243366678317,-0.640956642511152,-0.535063271528842,-0.645427520406092,-0.631334756360976,-0.787505113847046,-0.866024238786606,-0.400241815340703,-0.547323214157031,-0.456190100127578,-0.467340214707765,-0.672633412736446,-0.713623737983665,-0.270275723251304,-0.943855335558497,-0.94184631998253,-0.456169174654089,-0.342613986964118,-0.246033676380196,-0.75182193012892,-0.385506670795765,-0.693810913115933,-0.327662218321307,-0.499808157276436,-0.424229879688602,-0.563674776951255,-0.534437271767961,-0.709167864035793,-0.596051669670782,-0.499872523833286,-0.820270715215054,-0.858187292785096,-0.54539662155524,-0.591230645501052,-0.49993451575887,-0.498683134145614,-0.44023742199915,-0.445523702080891,-0.548035046034141,-0.704103685349827,-0.519366996477052,-0.77358494615133,-0.797962262718091,-0.515564974948054,-0.487920742398079,-0.293847491221158,-0.753989276139279,-0.566340153971939,-0.443173775893618,-0.473621946344619,-0.516586372663395,-0.313301157406752,-0.410016526889446,-0.891959890605283,-0.643467504862457,-0.206685097607577,-0.469364284110813,-0.668316437914672,-0.521572420082956,-0.43072976397432,-0.645266795800226,-0.480291962039436,-0.344248695988016,-0.742526099880696,-0.39089728856875,-0.43867939244811,-0.453620652817502,-0.513338683081524,-0.64167814361506,-0.569122534730526,-0.480047440377219,-0.778239761440442,-0.535976371781962,-0.403811187220332,-0.679217706872294,-0.562334220085214,-0.654879241876213,-0.470800822680231,-0.832345552646507,-0.76458952935099,-0.443959484234904,-0.639267050152771,-0.532859943979308,-0.682450147928652,-0.474643927980356,-0.343034844510839,-0.422437032083298,-0.377721184330035,-0.5942110379541,-0.525665998687515,-0.348774849234558,-0.698042744920052,-0.488945965970684,-0.606589301914677,-0.633562669687188,-0.688367509203707,-0.550341203922913,-0.444319261336101,-0.533423884446547,-0.582755606533545,-0.791609644688372,-0.694254385881669,-0.902110142440813,-0.770779127689337,-0.641073479127043,-0.423888684236126,-0.244994534754078,-0.618552360063661,-0.591273546001928,-0.575946021418473,-0.471730786236225,-0.0272676472124687,-0.654546013729112,-0.402458433244721,-0.588353424428263,-0.520148081006231,-0.50467338674211,-0.443831153682334,-0.585671823082072,-0.568424735964613,-0.709049081296842
1:3.4,3.4,-0.937274072570443,-0.522147488188563,-0.594267137157902,-0.842141385828232,-0.834164665449278,-0.671118195686207,-0.647241780707521,-0.692476176019506,-0.488766047882797,-0.293435832152712,-0.508461051523744,-0.586871789066773,-0.557436442719649,-0.876820149868896,-0.608423733419764,-0.448518566378728,-0.597466595969777,-0.819051534622145,-0.701053300965945,-0.277022961420749,-0.564915140412628,-0.620219182674451,-0.233226670205757,-0.815336911270097,-0.42365340205447,-0.465671402268509,-0.860670234681592,-0.731294709580942,-0.66511668987158,-0.678227344374944,-0.365995441420049,-0.508430857713116,-0.417322464583503,-0.648077803618512,-0.320079165830227,-0.400661378123338,-0.959067199494704,-0.670121643631505,-0.269945311019291,-0.351464102187813,-0.48517003366114,-0.402248876756165,-0.501985277070342,-0.796070360723865,-0.482670944799561,-0.531989674613676,-0.733603725465711,-0.477966739989317,-0.233525954803919,-0.541069417574555,-0.682287419936155,-0.552140271782981,-0.385615277504452,-0.485573250487027,-0.838257726447529,-0.542521516623693,-0.559642258827014,-0.751504812857596,-0.457748794309446,-0.624120796557434,-0.945529335799152,-0.590432747840091,-0.779290774864294,-0.583556843256388,-0.573543105292285,-0.658155719323478,-0.636306344729743,-0.439902600261524,-0.359703034238355,-0.722721222807523,-0.537451464735956,-0.793759840871976,-0.434124470466486,-0.443505867327891,-0.340132775278323,-0.615289495132103,-0.6214983462415,-0.941883072175306,-0.424331403878974,-0.700107832593459,-0.662425377547054,-0.431020930407142,-0.331171842859253,-0.320996032154956,-0.562398256501369,-0.383794302874023,-0.562987485445672,-0.502773368705921,-0.564681130730365,-0.573226196761308,-0.675475955940371,-0.674240722695922,-0.987734061080595,-0.791309557859941,-0.610303228869812,-0.721042144767957,-0.557455920356348,-0.574516560395929,-0.634458582349473,-0.639351470545703,-0.432338442816478,-0.458394900312638,-0.780349242363587,-0.659701240809191,-0.432785449784072,-0.739152305476164,-0.509080049895844,-0.330298349164874,-0.589941587577768,-0.491728796048521,-0.471999198708359,-0.346558895537813,-0.6723980146059,-0.279775456570076,-0.286813930862385,-0.557176792127901,-0.656464822087131,-0.381076328374405,-0.852591474596708,-0.510090599263127,-0.409816997233132,-0.880853612891084,-0.646879317968819,-0.514296975199965,-0.708102088282778,-0.890361594233959,-0.418808964717629,-0.395049873259004
1:3.6,3.6,-0.571344113654942,-0.634863671259551,-0.499827055811859,-0.814305996692022,-0.873568917632872,-0.720500577417983,-0.548886089789506,-0.72832040921784,-0.702455869874923,-0.572967785794339,-0.79833359648859,-0.630370760044508,-0.789663972000171,-0.660125746378716,-0.855833547346712,-0.522221222766184,-0.461459494277217,-0.663712083633702,-0.632857383348404,-0.562437224037744,-0.665876194555656,-0.649324068126358,-0.909984144019594,-0.526846138617382,-0.822721738927547,-0.480712849592237,-0.532833709728647,-0.668335279936734,-0.403863856187296,-0.596304121556714,-0.601709788158087,-0.845259595434933,-0.771747657137472,-0.36005358129951,-0.75522221297612,-0.468120744674086,-0.452474395924382,-0.514754814305599,-0.466911563072742,-0.687160359458259,-0.669516684340066,-0.38768664862999,-0.616349425681981,-0.156021252701987,-0.578438585657504,-0.729280159565365,-0.199330094264438,-0.604010844089372,-0.650466458919873,-0.412703470785424,-0.599038732764085,-0.769475135645803,-0.620383608590538,-0.556444375292794,-0.393352341876624,-0.488196191892982,-0.557374112493873,-0.71724981543058,-0.406478726352634,-0.361864694113076,-0.551504982418209,-0.845162986963758,-0.489386864952257,-0.662828856733502,-0.608775997648833,-0.765987943357961,-0.736699533267077,-0.710553354893155,-0.613290207084773,-0.82695429681129,-0.766893911255464,-0.617185954632325,-0.647240724909578,-0.726453297852916,-0.683890742568146,-0.60935565015504,-0.275525892839401,-0.663608293745834,-0.773150650372196,-0.324522341059198,-0.853444829331183,-0.93299730438153,-0.439817740765884,-0.345752394265059,-0.183473752811326,-0.317528405961874,-0.411308839597725,-0.472667108212158,-0.869954966281431,-0.660782896625086,-0.800643197055853,-0.465355103174343,-0.499652205117096,-0.668728157541335,-0.619129386397003,-0.642241624967384,-0.581247131438889,-0.567745122657383,-0.855083615205847,-0.597790185260406,-0.686003895430102,-0.385962613945769,-0.774207660022593,-0.466412898693825,-0.794053921434216,-0.283342607398733,-0.688826905820865,-0.818990667630547,-0.563316728163337,-0.410463455640393,-0.745468738187668,-0.74338876181388,-0.822876929414916,-0.724463019279214,-0.600572822771697,-0.598702847830114,-0.370040065197563,-0.772610796079289,-0.422051303601479,-0.753772051271715,-0.583912155196573,-0.57935217093221,-0.940879566834497,-0.47213299132784,-0.380146496566688,-0.67139926294528,-0.484196401573163,-0.763527273012314
1:3.8,3.8,-0.682819258278151,-0.7317197737916,-0.64603368514493,-1.134676695367,-0.711556047401877,-0.459250715132928,-0.311774919626966,-0.621287735869388,-0.903608376836861,-0.840896605603898,-0.575697596039011,-0.548503798673069,-0.555850024644427,-0.599526450284757,-0.474576228963063,-0.443234474598186,-0.311349362770469,-0.463328521726064,-0.566884785717779,-0.738317211170945,-0.611185500637033,-0.957791672466301,-0.841639717745922,-0.784538198786543,-0.483389132052576,-0.594027135796305,-0.224186069870505,-0.680487132044434,-0.685803097750982,-0.443652385063925,-0.685127770088926,-0.691809212427577,-0.482198178194835,-0.705421219912151,-0.719348565734347,-0.264241352990265,-0.614220209604284,-0.457971997244728,-0.819833352674511,-0.683692729179319,-0.713587340129853,-0.502026647495248,-0.811440668408388,-0.847415916626228,-0.302862582094088,-0.533144035963358,-0.322742442166171,-0.5564267026354,-0.686141725215095,-0.647996717920701,-0.691547664891332,-0.425534663573734,-0.449564987765965,-0.511308495689388,-0.638444267585297,-0.871564310454274,-0.773056443922901,-0.41971928791952,-0.816683881455511,-0.553626645396989,-0.65647923085044,-0.651398836904052,-0.898587690514163,-0.223260358149965,-0.610343583967689,-0.495374716889052,-0.266740709404325,-0.488335128169628,-0.810059327976664,-0.74479797682945,-0.798523482718728,-0.68793651832354,-0.509749238863082,-0.414867158892815,-0.721110908639272,-0.937204826292482,-0.995047400342725,-0.510237858646612,-0.956494133645,-0.758972244222572,-0.748992432647945,-0.828803554062494,-0.697169148537794,-0.547737713085195,-0.640396427281982,-0.803193785584517,-0.636803763353607,-1.0496221188901,-0.510871888757164,-0.363447383764648,-0.493009010382255,-0.766092665675871,-0.750102531403261,-0.314352029596157,-0.675177384172555,-0.533907151692174,-0.835462568585472,-0.857251747223342,-0.606983915528527,-0.697076271900802,-0.38395948115611,-0.61180674616183,-0.686347054264498,-0.579409744727249,-0.479897384036528,-0.642549329679244,-0.989349393848588,-0.798372627163335,-0.606086997648498,-0.507965124291511,-0.699358370619366,-0.740377104790953,-0.288261562371737,-0.390572077347752,-0.601403632474515,-0.619842275067344,-0.570648184566097,-0.546769078295,-0.563584621274032,-0.769380067209783,-0.716522164659479,-0.733115397995238,-0.724407118297552,-0.605322540828233,-0.500952164546335,-0.691312133021772,-0.395645939081896,-0.621233497196623
