,time,HRF
0,0.0,-5.871976175963485e-17
1,0.001,-3.9593128641862313e-16
2,0.002,4.627537384941676e-15
3,0.003,4.1664252725804067e-14
4,0.004,1.7766607258579808e-13
5,0.005,5.364055013083382e-13
6,0.006,1.3148976834017182e-12
7,0.007,2.7986977256422206e-12
8,0.008,5.376889384967661e-12
9,0.009000000000000001,9.556510927914674e-12
10,0.01,1.59766287380689e-11
11,0.011,2.5422028145634933e-11
12,0.012,3.883658448097654e-11
13,0.013000000000000001,5.7336325911565195e-11
14,0.014,8.222221402166849e-11
15,0.015,1.1499265705661458e-10
16,0.016,1.5735577104140063e-10
17,0.017,2.1124140098461197e-10
18,0.018000000000000002,2.788129130439639e-10
19,0.019,3.6247876719769776e-10
20,0.02,4.6490387887377833e-10
21,0.021,5.890207771396239e-10
22,0.022,7.380405662869273e-10
23,0.023,9.154636970351733e-10
24,0.024,1.1250905530243661e-09
25,0.025,1.3710318578182824e-09
26,0.026000000000000002,1.6577189072186201e-09
27,0.027,1.9899136313559546e-09
28,0.028,2.3727184906955424e-09
29,0.029,2.811586209833595e-09
30,0.03,3.312329352710288e-09
31,0.031,3.8811297426465845e-09
32,0.032,4.524547730415595e-09
33,0.033,5.249531313387369e-09
34,0.034,6.063425108619716e-09
35,0.035,6.9739791826257e-09
36,0.036000000000000004,7.989357740411849e-09
37,0.037,9.118147676279003e-09
38,0.038,1.0369366988719547e-08
39,0.039,1.175247306172064e-08
40,0.04,1.3277370814594604e-08
41,0.041,1.4954420722463462e-08
42,0.042,1.6794446709366623e-08
43,0.043000000000000003,1.8808743915939932e-08
44,0.044,2.1009086343520555e-08
45,0.045,2.3407734376463656e-08
46,0.046,2.601744218441565e-08
47,0.047,2.8851465006218745e-08
48,0.048,3.192356631706727e-08
49,0.049,3.524802488047483e-08
50,0.05,3.8839641686645886e-08
51,0.051000000000000004,4.271374677859882e-08
52,0.052000000000000005,4.688620596768111e-08
53,0.053,5.137342743965137e-08
54,0.054,5.61923682529209e-08
55,0.055,6.136054073007126e-08
56,0.056,6.689601874413462e-08
57,0.057,7.28174439007142e-08
58,0.058,7.914403161743264e-08
59,0.059000000000000004,8.589557710156383e-08
60,0.06,9.30924612274044e-08
61,0.061,1.0075565631423219e-07
62,0.062,1.089067318061891e-07
63,0.063,1.1756785985504208e-07
64,0.064,1.2676182080701674e-07
65,0.065,1.3651200859466152e-07
66,0.066,1.4684243603493509e-07
67,0.067,1.577777400342992e-07
68,0.068,1.693431867020565e-07
69,0.069,1.8156467637276775e-07
70,0.07,1.944687485387467e-07
71,0.07100000000000001,2.080825866935519e-07
72,0.07200000000000001,2.2243402308766298e-07
73,0.073,2.3755154339647703e-07
74,0.074,2.534642913027934e-07
75,0.075,2.7020207299341853e-07
76,0.076,2.8779536157147977e-07
77,0.077,3.0627530138524166e-07
78,0.078,3.2567371227349026e-07
79,0.079,3.4602309373028816e-07
80,0.08,3.6735662898698203e-07
81,0.081,3.897081890150324e-07
82,0.082,4.131123364490482e-07
83,0.083,4.3760432943046006e-07
84,0.084,4.6322012537417285e-07
85,0.085,4.899963846571306e-07
86,0.08600000000000001,5.179704742308454e-07
87,0.08700000000000001,5.47180471158219e-07
88,0.088,5.776651660750174e-07
89,0.089,6.09464066577145e-07
90,0.09,6.426174005346653e-07
91,0.091,6.771661193324782e-07
92,0.092,7.131519010388294e-07
93,0.093,7.506171535029057e-07
94,0.094,7.896050173807842e-07
95,0.095,8.301593690913364e-07
96,0.096,8.72324823703509e-07
97,0.097,9.161467377531558e-07
98,0.098,9.616712119935477e-07
99,0.099,1.008945094076123e-06
100,0.1,1.0580159811663102e-06
101,0.101,1.1089322224918656e-06
102,0.10200000000000001,1.1617429218253266e-06
103,0.10300000000000001,1.216497939902362e-06
104,0.10400000000000001,1.273247896774454e-06
105,0.105,1.3320441740982667e-06
106,0.106,1.3929389173623862e-06
107,0.107,1.4559850380483284e-06
108,0.108,1.5212362157340819e-06
109,0.109,1.5887469001319491e-06
110,0.11,1.6585723130670627e-06
111,0.111,1.730768450394909e-06
112,0.112,1.8053920838602575e-06
113,0.113,1.8825007628942182e-06
114,0.114,1.9621528163542063e-06
115,0.115,2.0444073542065694e-06
116,0.116,2.1293242691470097e-06
117,0.117,2.216964238169811e-06
118,0.11800000000000001,2.3073887240758894e-06
119,0.11900000000000001,2.4006599769254434e-06
