,X,Y,Z
0,0.25,0.0,0.008326620725896669
1,0.688,0.0,0.00997980952151243
2,1.126,0.0,0.015193759173698671
3,1.564,0.0,0.018535364509754525
4,2.002,0.0,0.026754331097296767
5,2.44,0.0,0.040040867274828064
6,2.878,0.0,0.05052473957245733
7,3.316,0.0,0.060317973950432716
8,3.754,0.0,0.0722772291124639
9,4.192,0.0,0.07682416834373731
10,4.63,0.0,0.0789294353460753
11,5.068,0.0,0.07597515730253268
12,5.506,0.0,0.06832987103037907
13,5.944,0.0,0.05605663932002005
14,6.382,0.0,0.04447977195206827
15,6.82,0.0,0.03399181219459196
16,7.258,0.0,0.02277366481596594
17,7.696,0.0,0.013394438552048565
18,0.25,2.0,-0.03986856736601509
19,0.688,2.0,-0.04088424149048651
20,1.126,2.0,-0.04149017489162746
21,1.564,2.0,-0.03612085121045309
22,2.002,2.0,-0.02423096964015327
23,2.44,2.0,-0.008927120964527864
24,2.878,2.0,0.014315732879474635
25,3.316,2.0,0.03157052902530841
26,3.754,2.0,0.044840323965184795
27,4.192,2.0,0.05608614943218345
28,4.63,2.0,0.06426600933524924
29,5.068,2.0,0.06164736302214201
30,5.506,2.0,0.05746709641329665
31,5.944,2.0,0.0512638823394719
32,6.382,2.0,0.04219481125405015
33,6.82,2.0,0.03346199146814029
34,7.258,2.0,0.02054104207482896
35,7.696,2.0,0.007072244934850947
36,0.25,4.0,0.000589891925842737
37,0.688,4.0,0.007023631963777295
38,1.126,4.0,0.013127365561370114
39,1.564,4.0,0.021900082626031245
40,2.002,4.0,0.035726926219745055
41,2.44,4.0,0.04958297587557775
42,2.878,4.0,0.06594221219049871
43,3.316,4.0,0.07950869546895625
44,3.754,4.0,0.0902647182037033
45,4.192,4.0,0.09162258899168048
46,4.63,4.0,0.09099129075296016
47,5.068,4.0,0.08159642516565924
48,5.506,4.0,0.06774895928206803
49,5.944,4.0,0.05279295128018012
50,6.382,4.0,0.037583095642899925
51,6.82,4.0,0.022669461082843605
52,7.258,4.0,0.009443796564091797
53,7.696,4.0,-0.002403613371182482
54,0.25,6.0,-0.015425684311761653
55,0.688,6.0,-0.008960909652103732
56,1.126,6.0,-0.0007649851759155485
57,1.564,6.0,0.013182187324207997
58,2.002,6.0,0.031033283838486102
59,2.44,6.0,0.05187465919065358
60,2.878,6.0,0.07008272883622158
61,3.316,6.0,0.0836676063821762
62,3.754,6.0,0.08714429739219044
63,4.192,6.0,0.08993770889708351
64,4.63,6.0,0.08470203840119579
65,5.068,6.0,0.07185146840631362
66,5.506,6.0,0.059386878902425576
67,5.944,6.0,0.04437611180364174
68,6.382,6.0,0.025952771206714926
69,6.82,6.0,0.009714091671701851
70,7.258,6.0,-0.0044949207408211235
71,7.696,6.0,-0.012738335434131479
72,0.25,8.0,-0.006067122803643578
73,0.688,8.0,0.0014664791702210787
74,1.126,8.0,0.012955138611440323
75,1.564,8.0,0.0288700853633587
76,2.002,8.0,0.04817805933327591
77,2.44,8.0,0.06750175722211435
78,2.878,8.0,0.08503469297135482
79,3.316,8.0,0.09878926536136268
80,3.754,8.0,0.10455571920763318
81,4.192,8.0,0.10135997920384801
82,4.63,8.0,0.09488674985687838
83,5.068,8.0,0.08521807818006717
84,5.506,8.0,0.07314234516560016
85,5.944,8.0,0.05793283395408657
86,6.382,8.0,0.04169174608290177
87,6.82,8.0,0.023645435904950947
88,7.258,8.0,0.01052561792351834
89,7.696,8.0,0.001998657567808612
90,0.25,10.0,0.004510993908391318
91,0.688,10.0,0.0012886581552953933
92,1.126,10.0,-0.00018120864202593074
93,1.564,10.0,0.003534021112185781
94,2.002,10.0,0.016404206500358925
95,2.44,10.0,0.039556236065863816
96,2.878,10.0,0.06530420888375636
97,3.316,10.0,0.09012596122400289
98,3.754,10.0,0.11256360439028987
99,4.192,10.0,0.13170804891681276
100,4.63,10.0,0.14403973353699748
101,5.068,10.0,0.1490933658736
102,5.506,10.0,0.14244179177659932
103,5.944,10.0,0.12541996666116756
104,6.382,10.0,0.10552493363289198
105,6.82,10.0,0.0865613288790865
106,7.258,10.0,0.06233442758040768
107,7.696,10.0,0.04217760582424839
108,0.25,12.0,0.026514320276343956
109,0.688,12.0,0.027984034834322297
110,1.126,12.0,0.03327032910454371
111,1.564,12.0,0.045364131284775
112,2.002,12.0,0.06273467996258006
113,2.44,12.0,0.0841562195537324
114,2.878,12.0,0.1111526458045465
115,3.316,12.0,0.13962436836200676
116,3.754,12.0,0.16305784486333907
117,4.192,12.0,0.18250548894967036
118,4.63,12.0,0.19396109885744434
119,5.068,12.0,0.19755320459671835
120,5.506,12.0,0.19601878049017205
121,5.944,12.0,0.18786922085350216
122,6.382,12.0,0.17525956088671552
123,6.82,12.0,0.15946484732843805
124,7.258,12.0,0.14250816244381764
125,7.696,12.0,0.1211810157012323
126,0.25,14.0,0.0317164223448178
127,0.688,14.0,0.042647203409430234
128,1.126,14.0,0.05912250953075223
129,1.564,14.0,0.08057461798869114
130,2.002,14.0,0.10873736335953385
131,2.44,14.0,0.14120338926299428
132,2.878,14.0,0.1739246739418771
133,3.316,14.0,0.1974388336986782
134,3.754,14.0,0.21729727514392527
135,4.192,14.0,0.2289592036314613
136,4.63,14.0,0.23378607966339957
137,5.068,14.0,0.22876262776484496
138,5.506,14.0,0.2176975117383298
139,5.944,14.0,0.2005228696744612
140,6.382,14.0,0.18056806482624518
141,6.82,14.0,0.156272146306738
142,7.258,14.0,0.13275580985661023
143,7.696,14.0,0.11006325163764188
144,0.25,16.0,0.09690233376870697
145,0.688,16.0,0.10412561982283937
146,1.126,16.0,0.11008693408163187
147,1.564,16.0,0.1216081420112453
148,2.002,16.0,0.1381000039815632
149,2.44,16.0,0.15232432832167783
150,2.878,16.0,0.16982147630529137
151,3.316,16.0,0.18268057197050508
152,3.754,16.0,0.1907912144290514
153,4.192,16.0,0.1935374629562307
154,4.63,16.0,0.1920172160331821
155,5.068,16.0,0.18296652021314816
156,5.506,16.0,0.17163773036026006
157,5.944,16.0,0.15654791494116999
158,6.382,16.0,0.13940736412047156
159,6.82,16.0,0.12076256967807764
160,7.258,16.0,0.10261807679132491
161,7.696,16.0,0.08714780284047095
162,0.25,18.0,0.06304498375112697
163,0.688,18.0,0.06705018730093419
164,1.126,18.0,0.07763525528660989
165,1.564,18.0,0.09233463007946227
166,2.002,18.0,0.11220152088338356
167,2.44,18.0,0.1354018275571408
168,2.878,18.0,0.15541432534030036
169,3.316,18.0,0.1730849680433685
170,3.754,18.0,0.18675461451339057
171,4.192,18.0,0.19611076027160093
172,4.63,18.0,0.1938795332230907
173,5.068,18.0,0.18711048991613585
174,5.506,18.0,0.1720122188524525
175,5.944,18.0,0.15207344286363816
176,6.382,18.0,0.12983544306002381
177,6.82,18.0,0.1104751053260578
178,7.258,18.0,0.09010572539097404
179,7.696,18.0,0.0743261819300829
180,0.25,20.0,0.01125079887785346
181,0.688,20.0,0.02129586908617172
182,1.126,20.0,0.035301586779885055
183,1.564,20.0,0.054948258663241836
184,2.002,20.0,0.07768072579006974
185,2.44,20.0,0.10431547659282103
186,2.878,20.0,0.13809902355797482
187,3.316,20.0,0.1685040598317224
188,3.754,20.0,0.1886748706366763
189,4.192,20.0,0.2024581604161786
190,4.63,20.0,0.20920149002914895
191,5.068,20.0,0.20598619446310748
192,5.506,20.0,0.1962835280594197
193,5.944,20.0,0.18549756796142564
194,6.382,20.0,0.16490750282880554
195,6.82,20.0,0.14626625270584243
196,7.258,20.0,0.12684682721940393
197,7.696,20.0,0.10888395191816339
198,0.25,22.0,0.0640919078447825
199,0.688,22.0,0.07013368844078671
200,1.126,22.0,0.07761409849171039
201,1.564,22.0,0.09237981735381082
202,2.002,22.0,0.11596062655476858
203,2.44,22.0,0.13977374167903947
204,2.878,22.0,0.1623327072879986
205,3.316,22.0,0.17903192414288216
206,3.754,22.0,0.18770285202076442
207,4.192,22.0,0.1899260641101181
208,4.63,22.0,0.18741790795212895
209,5.068,22.0,0.1779380479758899
210,5.506,22.0,0.15961574088145764
211,5.944,22.0,0.1372590205513101
212,6.382,22.0,0.1194769743155402
213,6.82,22.0,0.09997460849243442
214,7.258,22.0,0.08645129686359374
215,7.696,22.0,0.0711830384450379
216,0.25,24.0,0.05085015375148422
217,0.688,24.0,0.058586586996973535
218,1.126,24.0,0.06936118343957334
219,1.564,24.0,0.08302456123102557
220,2.002,24.0,0.10137487420451936
221,2.44,24.0,0.12212989725886339
222,2.878,24.0,0.143123015282487
223,3.316,24.0,0.16340703738878243
224,3.754,24.0,0.1807046756309768
225,4.192,24.0,0.19416448031912373
226,4.63,24.0,0.19675913810182152
227,5.068,24.0,0.19040358366739754
228,5.506,24.0,0.17825696594223497
229,5.944,24.0,0.15949652819347213
230,6.382,24.0,0.13621899359091555
231,6.82,24.0,0.11345724847827192
232,7.258,24.0,0.09061586495423495
233,7.696,24.0,0.06807073051340631
234,0.25,26.0,0.043159218800791724
235,0.688,26.0,0.05315729634858336
