,X,Y,Z
0,0.25,0.0,-0.0072247405118007705
1,0.688,0.0,-0.011946918619560667
2,1.126,0.0,-0.01177257563847282
3,1.564,0.0,-0.008994201393443323
4,2.002,0.0,0.0013785621651575962
5,2.44,0.0,0.02347200722555884
6,2.878,0.0,0.04151961482590442
7,3.316,0.0,0.05923061498815842
8,3.754,0.0,0.07970161351098955
9,4.192,0.0,0.09143026229544149
10,4.63,0.0,0.0971094938185889
11,5.068,0.0,0.09367203028100858
12,5.506,0.0,0.08207576137112439
13,5.944,0.0,0.058966285122878645
14,6.382,0.0,0.03789139592529405
15,6.82,0.0,0.020354868051262912
16,0.25,2.0,-0.04527346336078534
17,0.688,2.0,-0.05075480700436854
18,1.126,2.0,-0.05539138083503335
19,1.564,2.0,-0.04995586569587921
20,2.002,2.0,-0.03478788852025458
21,2.44,2.0,-0.01181883555444551
22,2.878,2.0,0.02028156034095319
23,3.316,2.0,0.049188915501327854
24,3.754,2.0,0.0723242478820644
25,4.192,2.0,0.08652308878825646
26,4.63,2.0,0.09264781696370271
27,5.068,2.0,0.08657461908439343
28,5.506,2.0,0.07475705043965569
29,5.944,2.0,0.06160700909794783
30,6.382,2.0,0.04196974446724801
31,6.82,2.0,0.02490347166785046
32,0.25,4.0,-0.002051243048304323
33,0.688,4.0,-0.007253576523736932
34,1.126,4.0,-0.011322039398975118
35,1.564,4.0,-0.0031265926221609023
36,2.002,4.0,0.01065562156582001
37,2.44,4.0,0.03234174620632309
38,2.878,4.0,0.05747980260597273
39,3.316,4.0,0.08219905574377674
40,3.754,4.0,0.09597499129498545
41,4.192,4.0,0.0964181214534722
42,4.63,4.0,0.09222311647618968
43,5.068,4.0,0.07870294327900426
44,5.506,4.0,0.06017746383191071
45,5.944,4.0,0.038265873110321716
46,6.382,4.0,0.01918333365820863
47,6.82,4.0,0.003755536867507818
48,0.25,6.0,-0.014635783985538855
49,0.688,6.0,-0.02146844719860203
50,1.126,6.0,-0.024908416582137077
51,1.564,6.0,-0.009832390433231615
52,2.002,6.0,0.00964245642693727
53,2.44,6.0,0.033775498811944596
54,2.878,6.0,0.0567775609011388
55,3.316,6.0,0.07478593456665507
56,3.754,6.0,0.08283705785243864
57,4.192,6.0,0.08869808985275844
58,4.63,6.0,0.07955614836149227
59,5.068,6.0,0.06478722861642353
60,5.506,6.0,0.05020549929276358
61,5.944,6.0,0.033170264487931235
62,6.382,6.0,0.01327856629573428
63,6.82,6.0,-0.004007969359982542
64,0.25,8.0,-0.02703373040206929
65,0.688,8.0,-0.02701090383810765
66,1.126,8.0,-0.02113830018469753
67,1.564,8.0,-0.0036527722749630544
68,2.002,8.0,0.017636793518472926
69,2.44,8.0,0.04215262011981552
70,2.878,8.0,0.06638006102894298
71,3.316,8.0,0.083295630140337
72,3.754,8.0,0.09291088020812045
73,4.192,8.0,0.0892521996986109
74,4.63,8.0,0.07984314859834996
75,5.068,8.0,0.0665740144337411
76,5.506,8.0,0.05022188382152167
77,5.944,8.0,0.03097235692029803
78,6.382,8.0,0.012311416855815967
79,6.82,8.0,-0.004549733040944078
80,0.25,10.0,-0.020514150665394266
81,0.688,10.0,-0.03299294094480905
82,1.126,10.0,-0.042650162629657415
83,1.564,10.0,-0.04142044740251409
84,2.002,10.0,-0.029452549981665476
85,2.44,10.0,-0.007130772922277003
86,2.878,10.0,0.02351949745189969
87,3.316,10.0,0.05413647616779858
88,3.754,10.0,0.08310244375954137
89,4.192,10.0,0.10599860242269554
90,4.63,10.0,0.12048648943084395
91,5.068,10.0,0.12448714964782745
92,5.506,10.0,0.11601380281354053
93,5.944,10.0,0.10102212294682592
94,6.382,10.0,0.0773037896339261
95,6.82,10.0,0.05384359828927491
96,0.25,12.0,-0.006679739881121127
97,0.688,12.0,-0.019817553963447913
98,1.126,12.0,-0.028456930559744558
99,1.564,12.0,-0.02336278943928371
100,2.002,12.0,-0.0076005626019670924
101,2.44,12.0,0.01725756059101629
102,2.878,12.0,0.050220398897359006
103,3.316,12.0,0.08483275998806375
104,3.754,12.0,0.11276833582324766
105,4.192,12.0,0.13146132848422304
106,4.63,12.0,0.1404262932251214
107,5.068,12.0,0.14034527354298215
108,5.506,12.0,0.13341474100133277
109,5.944,12.0,0.1240915599036303
110,6.382,12.0,0.10914966475723939
111,6.82,12.0,0.09597405363322767
112,0.25,14.0,-0.033913083212589054
113,0.688,14.0,-0.028179270183282302
114,1.126,14.0,-0.015384113047634068
115,1.564,14.0,0.009418073657064542
116,2.002,14.0,0.04186277153453212
117,2.44,14.0,0.07958741986808507
118,2.878,14.0,0.1165276999107155
119,3.316,14.0,0.1471954382444629
120,3.754,14.0,0.16868445066158783
121,4.192,14.0,0.17790451286299663
122,4.63,14.0,0.18069929509531688
123,5.068,14.0,0.16983385759127917
124,5.506,14.0,0.1516025661809866
125,5.944,14.0,0.12845017862455468
126,6.382,14.0,0.10289430788955145
127,6.82,14.0,0.07857787514140818
128,0.25,16.0,0.04952247520761019
129,0.688,16.0,0.0470399432023565
130,1.126,16.0,0.047583095013817626
131,1.564,16.0,0.06142815673026014
132,2.002,16.0,0.08081964121453825
133,2.44,16.0,0.10440995815194645
134,2.878,16.0,0.12762433503181764
135,3.316,16.0,0.14714998548754307
136,3.754,16.0,0.15515698139357506
137,4.192,16.0,0.15493267513900646
138,4.63,16.0,0.14613966475187118
139,5.068,16.0,0.13166581642152236
140,5.506,16.0,0.10985244250651593
141,5.944,16.0,0.08895702495103984
142,6.382,16.0,0.06323223109605565
143,6.82,16.0,0.03892425392557897
144,0.25,18.0,4.658530583233976e-05
145,0.688,18.0,-0.004449086631120569
146,1.126,18.0,-0.0031950755513197445
147,1.564,18.0,0.006710750823197979
148,2.002,18.0,0.026149250648406397
149,2.44,18.0,0.053891806148472665
150,2.878,18.0,0.08468846501112832
151,3.316,18.0,0.11026505914474505
152,3.754,18.0,0.12954745770163506
153,4.192,18.0,0.14443670675218195
154,4.63,18.0,0.14796672934376276
155,5.068,18.0,0.14614075327466391
156,5.506,18.0,0.13080271561658693
157,5.944,18.0,0.11052520762965731
158,6.382,18.0,0.08729494368081339
159,6.82,18.0,0.0648986567798732
160,0.25,20.0,-0.01524256210608704
161,0.688,20.0,-0.01565803006137296
162,1.126,20.0,-0.00993687111606505
163,1.564,20.0,0.008041669613392383
164,2.002,20.0,0.03130890968508313
165,2.44,20.0,0.06483392043406891
166,2.878,20.0,0.10650288353433787
167,3.316,20.0,0.1430015852564673
168,3.754,20.0,0.16872157478400815
169,4.192,20.0,0.18337524606796438
170,4.63,20.0,0.18407088634703128
171,5.068,20.0,0.1711949281531014
172,5.506,20.0,0.15208810880525536
173,5.944,20.0,0.1319412588634446
174,6.382,20.0,0.10722242267653562
175,6.82,20.0,0.08281790198416908
176,0.25,22.0,-0.0007780716701245125
177,0.688,22.0,-0.004976727063829752
178,1.126,22.0,-0.0008168448057556
179,1.564,22.0,0.019328296205754207
180,2.002,22.0,0.05174343912370912
181,2.44,22.0,0.08860922997762857
182,2.878,22.0,0.1245662547600015
183,3.316,22.0,0.15333683115182595
184,3.754,22.0,0.1680354643528368
185,4.192,22.0,0.17367319212107546
186,4.63,22.0,0.1656436043977618
187,5.068,22.0,0.14788437906615234
