,X,Y,Z
0,0.25,0.0,-0.05123977017139473
1,0.688,0.0,-0.05267994593929526
2,1.126,0.0,-0.03886822028600136
3,1.564,0.0,-0.014596795055287586
4,2.002,0.0,0.02758598063159339
5,2.44,0.0,0.06572300389728451
6,2.878,0.0,0.07385498157615322
7,3.316,0.0,0.05997498669100544
8,3.754,0.0,0.04186043287652351
9,4.192,0.0,0.027176018002994566
10,4.63,0.0,0.027064664560707503
11,0.25,2.0,-0.04158348856183765
12,0.688,2.0,-0.07741903810442953
13,1.126,2.0,-0.08818093508406807
14,1.564,2.0,-0.05017146475024551
15,2.002,2.0,0.004654374881114944
16,2.44,2.0,0.05741869533848356
17,2.878,2.0,0.08784527437876016
18,3.316,2.0,0.09634898077175612
19,3.754,2.0,0.08201266972733488
20,4.192,2.0,0.04971247874582143
21,4.63,2.0,0.011879944430460018
22,0.25,4.0,-0.03152333808194052
23,0.688,4.0,-0.04246394093125137
24,1.126,4.0,-0.02245354816816104
25,1.564,4.0,0.03008617775683752
26,2.002,4.0,0.07447950994258266
27,2.44,4.0,0.11063034709784428
28,2.878,4.0,0.12881162584574235
29,3.316,4.0,0.1179846214402405
30,3.754,4.0,0.08014391213446452
31,4.192,4.0,0.042151220824608905
32,4.63,4.0,0.018088230548693608
33,0.25,6.0,-0.020743735379403803
34,0.688,6.0,-0.0257060819752618
35,1.126,6.0,0.0009221924779074045
36,1.564,6.0,0.0481085663673816
37,2.002,6.0,0.08884281405057765
38,2.44,6.0,0.11124572626108162
39,2.878,6.0,0.11204661480955361
40,3.316,6.0,0.10171309486938263
41,3.754,6.0,0.08090719733109161
42,4.192,6.0,0.0495530640587768
43,4.63,6.0,0.01680722893229331
44,0.25,8.0,-0.04272257203110237
45,0.688,8.0,-0.030996903911635516
46,1.126,8.0,0.0017638021940222486
47,1.564,8.0,0.05035247866529412
48,2.002,8.0,0.09719668244302802
49,2.44,8.0,0.1174278987463819
50,2.878,8.0,0.11491261371279982
51,3.316,8.0,0.096163081533476
52,3.754,8.0,0.0644532348105648
53,4.192,8.0,0.030698235197395885
54,4.63,8.0,0.00773125648679289
55,0.25,10.0,-0.023175103344279184
56,0.688,10.0,-0.049532002254960336
57,1.126,10.0,-0.05792068971688748
58,1.564,10.0,-0.0205833668334744
59,2.002,10.0,0.027463372945002073
60,2.44,10.0,0.07756869554050534
61,2.878,10.0,0.11658726919081612
62,3.316,10.0,0.13221270837534924
63,3.754,10.0,0.13382600661340754
64,4.192,10.0,0.12278668049148238
65,4.63,10.0,0.09448546599008113
66,0.25,12.0,-0.04315599956658019
67,0.688,12.0,-0.06603489612606908
68,1.126,12.0,-0.04334979476640326
69,1.564,12.0,0.011302377960543935
70,2.002,12.0,0.07081377258244029
71,2.44,12.0,0.12457903363760929
72,2.878,12.0,0.156527089439442
73,3.316,12.0,0.15938012968016319
74,3.754,12.0,0.13979067912376975
75,4.192,12.0,0.11313059405617643
