,X,Y,Z
0,0.25,0.0,-0.001732897102122265
1,0.688,0.0,0.0041485382858983625
2,1.126,0.0,0.017651838405918448
3,1.564,0.0,0.033053686818932476
4,2.002,0.0,0.05586451826969541
5,2.44,0.0,0.0787147267920605
6,2.878,0.0,0.08935752814254741
7,3.316,0.0,0.09205471104643177
8,3.754,0.0,0.09124596249648857
9,4.192,0.0,0.0860768250288613
10,4.63,0.0,0.08176849721275246
11,5.068,0.0,0.07097364692621058
12,5.506,0.0,0.06074730895767998
13,5.944,0.0,0.052015834582594164
14,6.382,0.0,0.046571278275593674
15,6.82,0.0,0.04367147652714855
16,0.25,2.0,-0.036571768114877265
17,0.688,2.0,-0.04227786647324353
18,1.126,2.0,-0.03902711356029494
19,1.564,2.0,-0.01838932833369002
20,2.002,2.0,0.011093626372694496
21,2.44,2.0,0.03753796598952848
22,2.878,2.0,0.0581867305565949
23,3.316,2.0,0.06274312598163403
24,3.754,2.0,0.05636732158277691
25,4.192,2.0,0.04316663206483156
26,4.63,2.0,0.025074646932901873
27,5.068,2.0,0.014042981605756736
28,5.506,2.0,0.010232793120915459
29,5.944,2.0,0.012526295349618665
30,6.382,2.0,0.012511371264303689
31,6.82,2.0,0.011925000638094542
32,0.25,4.0,-0.03196491167326127
33,0.688,4.0,-0.021638099232331464
34,1.126,4.0,-0.0019148503028247968
35,1.564,4.0,0.023458399129899995
36,2.002,4.0,0.04941141789434235
37,2.44,4.0,0.06891059911313599
38,2.878,4.0,0.07892293383685803
39,3.316,4.0,0.0752454583102504
40,3.754,4.0,0.06017744403509926
41,4.192,4.0,0.04204720808884503
42,4.63,4.0,0.02639280821959225
43,5.068,4.0,0.015281924694504779
44,5.506,4.0,0.010238733615840118
45,5.944,4.0,0.008171469631312952
46,6.382,4.0,0.008657504276797592
47,6.82,4.0,0.008850808580122198
48,0.25,6.0,-0.027302538884512107
49,0.688,6.0,-0.016774831803720778
50,1.126,6.0,0.0025880519177446893
51,1.564,6.0,0.027193553151262873
52,2.002,6.0,0.047902795325178105
53,2.44,6.0,0.0642576756799811
54,2.878,6.0,0.07107812166524023
55,3.316,6.0,0.06824228846717512
56,3.754,6.0,0.05845654469425097
57,4.192,6.0,0.045369359385273034
58,4.63,6.0,0.026498335510540517
59,5.068,6.0,0.013744074411213761
60,5.506,6.0,0.007585371804656191
61,5.944,6.0,0.004413773974133046
62,6.382,6.0,0.00011056187290494845
63,6.82,6.0,-0.0010808394371626233
64,0.25,8.0,-0.00544338162533232
65,0.688,8.0,0.011227518282668745
66,1.126,8.0,0.033957622020752594
67,1.564,8.0,0.05799204678160739
68,2.002,8.0,0.0811140298644497
69,2.44,8.0,0.09072958816804468
70,2.878,8.0,0.09104081480808812
71,3.316,8.0,0.08322392653129239
72,3.754,8.0,0.06666777930335956
73,4.192,8.0,0.05089914147048772
74,4.63,8.0,0.04073881513583398
75,5.068,8.0,0.036574296130972614
76,5.506,8.0,0.035845886117539125
77,5.944,8.0,0.03634465401295151
78,6.382,8.0,0.03552975787514333
79,6.82,8.0,0.03249791527551543
80,0.25,10.0,0.0028436931393232535
81,0.688,10.0,0.0016340796076589684
82,1.126,10.0,0.010080448256768942
83,1.564,10.0,0.03631669011524641
84,2.002,10.0,0.06940337437554514
85,2.44,10.0,0.10100488144242097
86,2.878,10.0,0.12632517338469243
87,3.316,10.0,0.14044288933914362
88,3.754,10.0,0.14260343771472242
89,4.192,10.0,0.13935866163864133
