,var,metric
0,-74.9367088608,-2.1165702567442013
1,-74.8101265823,-2.0115095168697734
2,-74.6835443038,-1.9744373134289765
3,-74.5569620253,-1.915221157821641
4,-74.4303797468,-1.9455524296655038
5,-74.3037974684,-1.9161379951474213
6,-74.1772151899,-2.0708315142057825
7,-74.0506329114,-2.0170786797884377
8,-73.9240506329,-1.9763522395639126
9,-73.7974683544,-2.1346380943915086
10,-73.6708860759,-1.9426500367028545
11,-73.5443037975,-2.092533520198936
12,-73.417721519,-2.0550413737824518
13,-73.2911392405,-2.0835703545805226
14,-73.164556962,-2.2336751848517244
15,-73.0379746835,-2.108093549469023
16,-72.9113924051,-2.070582964506544
17,-72.7848101266,-2.1202646403820666
18,-72.6582278481,-2.211922975143733
19,-72.5316455696,-2.181708854544851
20,-72.4050632911,-2.2091677296070205
21,-72.2784810127,-2.1699061763713017
22,-72.1518987342,-2.1881997757379876
23,-72.0253164557,-2.206692886429596
24,-71.8987341772,-2.1400294500723978
25,-71.7721518987,-2.0262114977442187
26,-71.6455696203,-2.0669189890477417
27,-71.5189873418,-2.0389291650147663
28,-71.3924050633,-2.13475378814496
29,-71.2658227848,-2.207500976701868
30,-71.1392405063,-2.171035626136903
31,-71.0126582278,-2.158596343679065
32,-70.8860759494,-2.066071045592244
33,-70.7594936709,-2.014918869454689
34,-70.6329113924,-1.962044656822713
35,-70.5063291139,-1.973500702117839
36,-70.3797468354,-1.9873185715323474
37,-70.253164557,-2.0442392298765406
38,-70.1265822785,-1.902498310465638
39,-70.0,-2.0091427785788594
40,-69.8717948718,-2.0673770608175643
41,-69.7435897436,-1.9557808165360682
42,-69.6153846154,-1.862537083686725
43,-69.4871794872,-1.8360862614231257
44,-69.358974359,-1.9062579684641467
45,-69.2307692308,-1.8481335969157533
46,-69.1025641026,-1.7225026973436366
47,-75.0,-2.1904328859056146
48,-74.8717948718,-2.015760437858506
49,-74.7435897436,-1.9427963252891218
50,-74.6153846154,-1.9789016169333762
51,-74.4871794872,-1.9430650067782338
52,-74.358974359,-1.9476264048738012
53,-74.2307692308,-1.948859300345104
54,-74.1025641026,-1.9387552912392485
55,-73.9743589744,-1.9198733245673296
56,-73.8461538462,-1.8250268250862163
57,-73.7179487179,-2.000085085264979
58,-73.5897435897,-1.9827056441841393
59,-73.4615384615,-2.1099263702126194
60,-73.3333333333,-1.9632790673649876
61,-73.2051282051,-2.000653195412638
62,-73.0769230769,-1.9547618020878106
63,-72.9487179487,-1.9820968162100432
64,-72.8205128205,-2.01885756012935
65,-72.6923076923,-2.1735844347097917
66,-72.5641025641,-2.0823417676042264
67,-72.4358974359,-2.001837629869668
68,-72.3076923077,-2.0388730284076733
69,-72.1794871795,-2.1380727100072385
70,-72.0512820513,-2.082893085631729
71,-71.9230769231,-2.1007705776760055
72,-71.7948717949,-2.0452392193165845
73,-71.6666666667,-2.0768030617014244
74,-71.5384615385,-2.1836488644852428
75,-71.4102564103,-2.1049798304201475
76,-71.2820512821,-1.9968890192877984
77,-71.1538461538,-2.004182700926154
78,-71.0256410256,-2.1243216788931836
79,-70.8974358974,-2.074799209889211
80,-70.7692307692,-2.1328488494296605
81,-70.641025641,-2.09971023016994
82,-70.5128205128,-2.0007829155039976
83,-70.3846153846,-2.0106240536457305
84,-70.2564102564,-1.9352166035922334
85,-70.1282051282,-2.086412641020633
86,-70.0,-1.8505766878723742
87,-69.8717948718,-1.8587342204753248
88,-69.7435897436,-1.9759043757536856
89,-69.6153846154,-1.8913794313029149
90,-69.4871794872,-1.8525864058388333
91,-69.358974359,-1.9272608065274601
92,-69.2307692308,-1.7185583114018177
93,-69.1025641026,-1.8028359274224866
