,var,metric
0,-52.9743589744,-1.433059013073991
1,-52.9102564103,-1.2823392582672049
2,-52.8461538462,-1.3180152243829775
3,-52.7820512821,-1.522810101786726
4,-52.7179487179,-1.5539516991299247
5,-52.6538461538,-1.6057636994856574
6,-52.5897435897,-1.4812429599473598
7,-52.5256410256,-1.6213416852705511
8,-52.4615384615,-1.646541968578556
9,-52.3974358974,-1.6864995923914978
10,-52.3333333333,-1.9135540990195825
11,-52.2692307692,-1.754034542252422
12,-52.2051282051,-1.9296905975802563
13,-52.141025641,-1.855915768251979
14,-52.0769230769,-2.07520932902875
15,-52.0128205128,-2.1967853767477146
16,-51.9487179487,-2.3387856182150535
17,-51.8846153846,-2.113051765049861
18,-51.8205128205,-2.4741693707741574
19,-51.7564102564,-2.5857180881531905
20,-51.6923076923,-2.2965415565953142
21,-51.6282051282,-2.5091899156381694
22,-51.5641025641,-2.54564021189578
23,-51.5,-2.4059030596420596
24,-52.9743589744,-1.3274146510093312
25,-52.9102564103,-1.2645037180021537
26,-52.8461538462,-1.4195600259884558
27,-52.7820512821,-1.4345892465465548
28,-52.7179487179,-1.440652044278806
29,-52.6538461538,-1.5066928314532755
30,-52.5897435897,-1.4734068380440875
31,-52.5256410256,-1.5845771478220267
32,-52.4615384615,-1.6171897000165165
33,-52.3974358974,-1.7780040319664614
34,-52.3333333333,-1.6807154835647724
35,-52.2692307692,-2.0343988255894163
36,-52.2051282051,-1.9017225490075984
37,-52.141025641,-1.8993304960171606
38,-52.0769230769,-1.9316352192139403
39,-52.0128205128,-2.027349814004775
40,-51.9487179487,-2.2680058011016904
41,-51.8846153846,-2.282904905114375
42,-51.8205128205,-2.3122697406943185
43,-51.7564102564,-2.350737371800131
44,-51.6923076923,-2.5011901403906887
45,-51.6282051282,-2.5607076130669784
46,-51.5641025641,-2.7014675169640805
47,-51.5,-2.761214179785308
